"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41"
"anchovy.y",15.6217033750886,-9.31801995227722,70.4572501614067,-0.944100694575719,2.2233141220718,0.03880886054278,-0.692711889706227,0.083982090213705,0.0206871220712055,0.143775012625834,-0.0152885235075789,0.0181504614431211,-0.00512989907511647,0.0015101693313841,-0.00219692157522742,0.000388954313448634,-0.00190694179559754,-1.78779974242897e-05,-0.000626577576872903,0.000551893793873393,0.000760107527060539,-0.000441448142190868,-0.00130033258115761,0.000673220394540227,3.36550625015093e-05,0.00013113994855614,0.00013472885174207,8.12666109979672e-05,4.56470509947964e-05,1.36613487948508e-05,-3.6460967455248e-06,-7.63523723463322e-05,-0.000106120467565771,-1.5211997995206e-05,-3.63045994793261e-05,-1.16820066197016e-05,-1.32510541290336e-05,-9.76108420089171e-06,-1.54296457138951e-06,-4.82009227707709e-07,0
"bluecrab.y",-0.0398214923878772,0.00928811586349122,0.0317255774295676,0.00318217128896456,0.0025464346265999,0.0189618352315474,-0.0467508971674256,-0.0154949039097236,0.0543622053519111,-0.045181728649973,0.101410688844576,-0.0979675560841588,0.00387016693836039,-0.00816467219500832,0.0220861314459413,-0.0232132493099573,0.0307723593555221,-0.0115142646597431,0.0425302615405104,0.095139970304119,-0.141889591342178,0.0968010509089036,-0.0259842340811651,-0.0331051410491856,0.0179769865593867,-0.0978702787531094,0.0386902942438911,-0.0689275592290681,-0.62812419807358,0.0328349781210318,0.000411964186243601,0.0200512562084376,0.0308554329965232,0.0141972470473336,0.000512845483580897,0.00152905391061578,-0.000744929748122442,-0.00150406140027402,-3.84183002445164e-05,2.43428016132502e-05,8.68321333034719e-31
"bluefish.y",0.0873486191207489,-0.0544194898827269,0.00261838477337586,0.00806150904345648,-0.0145859050868671,-0.000106461300228072,-0.00217052627447268,-0.0193671725930917,0.0140205775638419,-0.0299798580918281,-0.0154486429720853,0.00500793553454986,-0.021208498317075,0.000416935885433524,0.0105342925181719,-0.0281111459037043,0.00749646379228139,-0.00691102073779703,-0.0149644662694304,-0.00590714310037101,0.0159277318292011,-0.00129823316639052,0.0073921165738835,-0.0151240990031585,0.0102781900903462,0.00254370662275148,0.01580966917909,0.00511197768616214,-0.00392777622461061,0.00343266586945028,0.047961422682572,-0.196483251693593,0.0427254151520732,0.0433678431890276,0.210005096143055,-0.0051746555057775,0.00131928528620946,0.000316704900750313,0.00368478162168243,0.000868570362838309,-4.31977324133382e-30
"butter.y",0.727782840532798,-0.792904752567907,-0.177469600221515,0.108039841993582,-0.0963904765549589,-0.00134368470428256,-0.0036689381024627,0.0449004555710873,0.00944748578408254,0.228940261675066,0.163128476545884,0.208676307478837,-0.152182908874516,0.014203279373638,-0.537139729142782,1.71398002749996,-0.653138494365762,-0.295596188144639,0.332264749971998,-0.139625016901116,-0.158792349239455,0.0729607499528206,-0.0216049304610841,-0.0115758950758241,0.0168131819469128,-0.0048592650167938,-0.0108119697138268,0.0184894788485404,0.000888130830322186,0.000251922995599045,0.00237610243452397,-0.00815974542391462,-0.00761103199955268,0.000454338469466974,0.00242588280896681,0.000453600282717142,0.000234236169405338,-0.000177207733204501,0.000224662580542317,-6.89462594339814e-05,-5.43985481992804e-31
"calico.y",-11.9031491496071,-3.88603176988838,-2.73794985370886,-33.8612584718537,41.0195914993397,1.63119991172162,-1.72256827521602,-0.678675826823318,0.399290859072797,0.0165410721207696,-0.0518486919600875,0.0155196111359991,-0.0101663780717764,0.00271646244488193,-0.00297403301503661,0.00700339005211849,0.00211147564152876,0.00970205831520776,0.00540143984075021,-0.00411559803821695,-0.00157577981139003,-0.000306302107139438,-0.000200094140004291,0.00163892886850568,-4.87366523230268e-05,0.000564244293931679,9.25044270130465e-05,-0.000729280132130343,0.000194245670721391,2.96208882976662e-05,-0.000233985737765697,-0.000166019570552914,8.61376997616161e-06,5.87435141023604e-05,3.14599892278396e-05,-5.86312793386467e-05,1.64696727173695e-05,-1.04630305764093e-05,2.06858385552808e-06,5.51973669570859e-06,-7.86970555325442e-32
"clearnosesk.y",-0.00476612487553341,0.0138526742311421,-0.00205031843577004,-0.00492137163408204,-4.9994384128528e-05,0.00495290993698616,-0.00478073934771671,-0.010305993062833,-0.0296053286423131,0.00475398208346544,0.0108168565146936,0.014961313056052,0.00479268660785435,3.11151458484793e-05,0.0105976516618587,-0.0066998286220637,0.00351133360891974,-0.00983174363927516,0.00946695867830816,0.000322242384120396,-0.0445516829140618,-0.00419139837177223,0.0201824728334765,0.0364138580874267,-0.00714943967535526,0.00428909615420962,-0.00294370589763875,0.0118980702449453,0.00265227821287678,0.0172558156004762,-0.0137723968572959,-0.00456217983802395,0.00382351817777655,-0.00117371815842679,0.00283743836271274,0.0346134805114108,-0.153622674979578,0.0418053583262833,9.36663327763333e-05,-0.000382747906483256,1.77524105023947e-29
"cunner.y",-0.0644015736182552,-0.0847211837729895,-0.0334223742975977,-0.0355739391024877,0.023637556145574,0.0234064668588802,-0.0511096935709285,0.029706519791864,0.00444725557768242,0.0354070390654776,0.0109841893212727,0.0615849592941785,-0.0259305981329352,-0.0316548556241689,-0.164256018821412,0.0317946958981954,0.0511603441147284,0.0908968032046172,-0.276919492994982,0.0107272829075506,0.0191930301005858,-0.0505751983609122,-0.0372875983903982,0.0183617675780254,0.00796816798632154,-0.2517499400271,-0.457135782682706,0.409434645063821,-0.048389446349578,-0.0309205440386766,-0.00267408168139209,-0.0122479183004687,-0.00165997968730901,-0.00908797772236372,0.000180941799216526,-0.00213070479105535,0.00100737989017567,0.000250294100128519,-0.000144990214746672,-2.59589442855313e-05,-1.3795428988754e-32
"dog.y",0.0470316861631292,-0.16893598090505,-0.0297779725915118,0.00739207141028514,-0.024536520069308,0.011355798043006,-0.0570581949945749,0.102609553007632,-0.0139816821961514,-0.0128368446971062,0.138435700092789,0.109747436214625,-0.0875988998338709,0.0159896718260155,-0.032959929641046,0.055967481018199,0.0438006090845871,0.0159860381456575,0.0637161035515286,-0.00296674163394847,0.0807207253749254,0.015194722746003,-0.058983346273643,0.0501549125661917,-0.636890876625432,-0.177350799818841,-0.169428913762196,-0.264177713541699,0.0268526102568356,0.0119070332066426,-0.00746835995774056,-0.00956104899233345,-0.000445292066006959,0.011679373494241,0.00207930835452522,0.00422170118557235,0.000480889375402603,-0.00108462848423007,6.97575964805269e-05,6.69475282171254e-05,5.26554130650121e-31
"fluke.y",0.0422126219724982,-0.0698177437589056,0.115584018474957,0.0883904352564665,0.09483228507374,0.0521431424664273,-0.0427625185151462,0.0219946852162583,-0.016685589501532,-0.0281528628033134,0.00880712937504524,-0.018237601982302,-0.00569350536867048,-0.0895822996793331,0.000315373058256467,0.0420593897178557,-0.0165765154179518,0.0843929112681414,0.0620946187412525,-0.00493411011600759,0.0532679049566442,0.0409081678853531,0.745411043252993,-0.313724550202286,0.0394922929011978,-0.0602648526672235,-0.120932114363933,-0.0993654078095839,0.0112778870332164,-0.000560370450024133,-0.00617358724756719,0.0204276825603548,0.011198675355136,0.00522633380955808,0.00382316802562416,0.00254514335189045,0.000435525723700547,0.00171350733357878,-0.000443947838044757,-0.000193652108631245,3.49846103857046e-31
"herring.y",-0.23566181676208,4.43772419463376,-0.685579965420386,44.2564160077689,32.4405135643176,-0.0539483926451434,-0.0445508233301161,-0.0867413876376185,0.0582296983399197,-0.00829806854154897,0.0127973897699716,0.00520391043207468,-0.00378712391681098,-0.00220995806862291,-0.00293165971601933,-0.00125493365896839,-0.000799136083360366,0.00224152304650369,-0.000298506110281531,0.00106684731438903,-0.000410122653488492,-0.00038742204139461,-0.00230471846525524,-0.000179686222842261,-0.000147419578557234,7.79384775710733e-05,0.000111943129840783,7.16666561574214e-05,0.000149519896862874,-5.01648892177064e-06,0.000268134025151562,-2.38717932759826e-05,-3.8543725508669e-05,4.08743649209646e-06,-7.58884339789409e-06,-9.59025010961196e-06,-2.78018771510997e-05,5.82241909328577e-06,9.81375130751626e-07,1.13508496049308e-06,1.00438172548518e-32
