"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",229208.762281681,76.9705216536717,76.9705216536717
"Dim.2",38862.2934357273,13.0503344140481,90.0208560677198
"Dim.3",28798.3383035151,9.67076083791424,99.691616905634
"Dim.4",390.996792837064,0.131300508802524,99.8229174144365
"Dim.5",257.162478080993,0.086357650076744,99.9092750645133
"Dim.6",83.0093510585847,0.0278753438110716,99.9371504083244
"Dim.7",75.507961886608,0.0253563046960456,99.9625067130204
"Dim.8",21.8252805821403,0.00732914053949042,99.9698358535599
"Dim.9",19.9267085589695,0.00669158167147064,99.9765274352314
"Dim.10",16.9042839697212,0.00567662223022802,99.9822040574616
"Dim.11",13.6349750137106,0.00457875662820577,99.9867828140898
"Dim.12",12.9067658599036,0.00433421694358141,99.9911170310334
"Dim.13",11.9852128032039,0.00402475050434231,99.9951417815377
"Dim.14",3.20786728064734,0.00107723289253548,99.9962190144303
"Dim.15",2.12984165596939,0.000715221449947101,99.9969342358802
"Dim.16",1.24624607125608,0.00041850149731857,99.9973527373775
"Dim.17",1.0582374749959,0.000355366390329351,99.9977081037678
"Dim.18",0.900478054582664,0.000302389249472644,99.9980104930173
"Dim.19",0.878402990952746,0.000294976229367223,99.9983054692467
"Dim.20",0.84616576341808,0.000284150656228959,99.9985896199029
"Dim.21",0.816779203658311,0.000274282364930669,99.9988639022678
"Dim.22",0.688109746138858,0.000231073915272901,99.9990949761831
"Dim.23",0.647435971718666,0.000217415268004876,99.9993123914511
"Dim.24",0.526893337354806,0.000176935884249504,99.9994893273354
"Dim.25",0.422063517652142,0.000141733015794333,99.9996310603512
"Dim.26",0.20909538617907,7.02162552136658e-05,99.9997012766064
"Dim.27",0.185746831389816,6.23755844465526e-05,99.9997636521908
"Dim.28",0.168886144642943,5.67136025858805e-05,99.9998203657934
"Dim.29",0.120616717880291,4.05042617174927e-05,99.9998608700551
"Dim.30",0.112356378776573,3.77303598669688e-05,99.999898600415
"Dim.31",0.08527769738588,2.86370764707007e-05,99.9999272374915
"Dim.32",0.0674850124897981,2.26621206075919e-05,99.9999498996121
"Dim.33",0.0562596568605956,1.88925374994825e-05,99.9999687921496
"Dim.34",0.0436774145641989,1.46672987106774e-05,99.9999834594483
"Dim.35",0.0248818063477551,8.35555148593643e-06,99.9999918149998
"Dim.36",0.0137673939899025,4.62322420253788e-06,99.999996438224
"Dim.37",0.0063549170782175,2.13404268539747e-06,99.9999985722667
"Dim.38",0.00240782221080148,8.0857001176477e-07,99.9999993808367
"Dim.39",0.00184379232494319,6.19163314958733e-07,100
"Dim.40",1.07537055871392e-27,3.61119845730376e-31,100
"Dim.41",1.07537055871392e-27,3.61119845730376e-31,100
