"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",101810.957099128,53.4483557546796,53.4483557546796
"Dim.2",79644.3252766869,41.8113958705359,95.2597516252155
"Dim.3",6696.34842016953,3.51542528246769,98.7751769076832
"Dim.4",1378.39729794783,0.723626132698794,99.498803040382
"Dim.5",254.417691088935,0.133563298598261,99.6323663389803
"Dim.6",221.573662961565,0.116320957009632,99.7486872959899
"Dim.7",171.34936346949,0.0899543821019013,99.8386416780918
"Dim.8",66.2874477355942,0.034799349594486,99.8734410276863
"Dim.9",56.1287773103081,0.0294662867655355,99.9029073144518
"Dim.10",53.8590342631642,0.0282747250975969,99.9311820395494
"Dim.11",43.584769074736,0.0228809777392025,99.9540630172886
"Dim.12",30.7921452826927,0.016165151398358,99.970228168687
"Dim.13",20.9453991230993,0.0109958414659158,99.9812240101529
"Dim.14",9.26954746497136,0.00486629420554697,99.9860903043584
"Dim.15",6.33381671712509,0.00332510467269479,99.9894154090311
"Dim.16",4.82251534211759,0.0025317070282223,99.9919471160594
"Dim.17",3.12779811496375,0.00164202037914867,99.9935891364385
"Dim.18",2.77052259115307,0.00145445913973825,99.9950435955782
"Dim.19",2.24642947131706,0.0011793225894522,99.9962229181677
"Dim.20",2.18751308874795,0.00114839287554856,99.9973713110432
"Dim.21",1.75369466108887,0.000920648413507187,99.9982919594568
"Dim.22",0.942657918247382,0.000494873216056657,99.9987868326728
"Dim.23",0.532548012274503,0.000279575169780414,99.9990664078426
"Dim.24",0.406184981677289,0.00021323755341734,99.999279645396
"Dim.25",0.22313296782431,0.000117139555355121,99.9993967849514
"Dim.26",0.189205535097855,9.93284518563012e-05,99.9994961134032
"Dim.27",0.149017468795169,7.8230663110958e-05,99.9995743440663
"Dim.28",0.136513285213307,7.16662610903143e-05,99.9996460103274
"Dim.29",0.131586505893773,6.9079817928417e-05,99.9997150901453
"Dim.30",0.108458424683397,5.6938119748999e-05,99.9997720282651
"Dim.31",0.0986545295003181,5.17913055704758e-05,99.9998238195707
"Dim.32",0.089657519401418,4.70680870663392e-05,99.9998708876577
"Dim.33",0.0735772402007547,3.86263190303624e-05,99.9999095139768
"Dim.34",0.0682860042101263,3.58485446957815e-05,99.9999453625215
"Dim.35",0.0336778699926567,1.76800889385096e-05,99.9999630426104
"Dim.36",0.0323040129467256,1.69588463312379e-05,99.9999800014567
"Dim.37",0.0169769931943203,8.91252177318524e-06,99.9999889139785
"Dim.38",0.0160843256663445,8.44389233520202e-06,99.9999973578708
"Dim.39",0.00503285264383908,2.64212916009504e-06,100
"Dim.40",1.01055606181761e-27,5.30518143047082e-31,100
"Dim.41",1.01055606181761e-27,5.30518143047082e-31,100
