"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",2463824.60509124,95.0750604050835,95.0750604050835
"Dim.2",97821.6656434736,3.77478199980664,98.8498424048901
"Dim.3",21518.3043498218,0.830357031765464,99.6801994366556
"Dim.4",2219.97528485779,0.0856653042061128,99.7658647408617
"Dim.5",1636.88383067711,0.0631647353290263,99.8290294761907
"Dim.6",1179.3531935821,0.0455093580472599,99.874538834238
"Dim.7",932.621713571553,0.0359883839010627,99.910527218139
"Dim.8",850.144112470468,0.0328057048700358,99.9433329230091
"Dim.9",814.418574485899,0.031427113360369,99.9747600363694
"Dim.10",333.101848712809,0.0128538688679272,99.9876139052374
"Dim.11",143.60359606239,0.0055414336482419,99.9931553388856
"Dim.12",69.718331235725,0.00269031916471696,99.9958456580503
"Dim.13",37.3735748250101,0.00144218662184768,99.9972878446722
"Dim.14",26.9232609453019,0.00103892568301615,99.9983267703552
"Dim.15",12.5879729966386,0.000485749793455225,99.9988125201486
"Dim.16",7.38298730210457,0.000284897700212536,99.9990974178489
"Dim.17",4.68520381481442,0.000180794539831748,99.9992782123887
"Dim.18",3.61468610832422,0.000139484969581109,99.9994176973583
"Dim.19",3.25873688182476,0.000125749456858066,99.9995434468151
"Dim.20",3.0448764806658,0.000117496925197968,99.9996609437403
"Dim.21",2.12842971400404,8.21327066905456e-05,99.999743076447
"Dim.22",1.93212038805309,7.45574430194628e-05,99.99981763389
"Dim.23",1.38997910409252,5.36370758739564e-05,99.9998712709659
"Dim.24",0.74160926212133,2.86175181656422e-05,99.9998998884841
"Dim.25",0.665412646409054,2.56772123392706e-05,99.9999255656964
"Dim.26",0.42600047016482,1.64386784472486e-05,99.9999420043749
"Dim.27",0.39649508227117,1.5300112605156e-05,99.9999573044875
"Dim.28",0.371081636875493,1.43194482952443e-05,99.9999716239358
"Dim.29",0.233615004768385,9.01483029432834e-06,99.999980638766
"Dim.30",0.224466770626748,8.66181453508203e-06,99.9999893005806
"Dim.31",0.0992623567738172,3.83037597186108e-06,99.9999931309566
"Dim.32",0.0539448653973548,2.08164628504782e-06,99.9999952126028
"Dim.33",0.0490523601050108,1.89285231195388e-06,99.9999971054552
"Dim.34",0.0276188723178794,1.06576821601529e-06,99.9999981712234
"Dim.35",0.0198156743685899,7.64655257386463e-07,99.9999989358786
"Dim.36",0.00917865072277812,3.5418948658197e-07,99.9999992900681
"Dim.37",0.00735742628542623,2.83911341362281e-07,99.9999995739795
"Dim.38",0.00682363480360175,2.63313179758849e-07,99.9999998372926
"Dim.39",0.00421648334814831,1.62707364880538e-07,100
"Dim.40",2.08723953454116e-26,8.05432433852287e-31,100
"Dim.41",2.08723953454116e-26,8.05432433852287e-31,100
