"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",13776.6252675555,51.5436694574748,51.5436694574748
"Dim.2",11739.4378014786,43.9217653020595,95.4654347595343
"Dim.3",661.066974386208,2.47330655768512,97.9387413172194
"Dim.4",383.523842449522,1.43491063888002,99.3736519560994
"Dim.5",98.2592344135785,0.367625699429122,99.7412776555285
"Dim.6",36.959309095121,0.138279032373912,99.8795566879024
"Dim.7",11.0530002361216,0.0413535375768503,99.9209102254793
"Dim.8",7.94782421513192,0.0297358762610491,99.9506461017403
"Dim.9",3.04113141824264,0.0113780457517266,99.9620241474921
"Dim.10",2.63012062052379,0.00984029581009436,99.9718644433022
"Dim.11",2.30447458628607,0.00862192837809227,99.9804863716803
"Dim.12",2.01686904595487,0.00754588510791044,99.9880322567882
"Dim.13",0.846413709264414,0.00316676019034531,99.9911990169785
"Dim.14",0.753232146253612,0.00281813201834511,99.9940171489969
"Dim.15",0.541428638824545,0.0020256933938753,99.9960428423907
"Dim.16",0.346386440694834,0.00129596529316745,99.9973388076839
"Dim.17",0.135222533671409,0.000505919660540934,99.9978447273444
"Dim.18",0.117751073473094,0.000440552188325354,99.9982852795328
"Dim.19",0.103713885316639,0.000388033652588407,99.9986733131853
"Dim.20",0.086350553790745,0.000323070731446976,99.9989963839168
"Dim.21",0.057644049730493,0.000215668626227065,99.999212052543
"Dim.22",0.0549063267257513,0.000205425748390004,99.9994174782914
"Dim.23",0.0500985601900961,0.000187438039184752,99.9996049163306
"Dim.24",0.0393364685707456,0.000147172902961206,99.9997520892336
"Dim.25",0.0213403799640099,7.98425934943802e-05,99.9998319318271
"Dim.26",0.0108450475690965,4.0575506431793e-05,99.9998725073335
"Dim.27",0.00980370428498168,3.6679439507872e-05,99.999909186773
"Dim.28",0.00804178830657959,3.00874321737919e-05,99.9999392742052
"Dim.29",0.00552258644480854,2.06621262270894e-05,99.9999599363314
"Dim.30",0.00534223497908841,1.99873618232741e-05,99.9999799236932
"Dim.31",0.00280828111919543,1.0506862961016e-05,99.9999904305562
"Dim.32",0.0025577271251323,9.5694438180526e-06,100
"Dim.33",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.34",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.35",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.36",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.37",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.38",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.39",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.40",1.26829574510141e-28,4.74518362735638e-31,100
"Dim.41",1.26829574510141e-28,4.74518362735638e-31,100
