"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41"
"1",-253.552088836865,-58.0450659734584,-51.7282869908355,-14.1701117123528,-1.37893211920257,3.99716692442865,-27.5377750965153,-1.93482080753504,-0.913267107426,2.06454516867326,-0.865107196808301,-0.00707605417301028,-0.777864030842971,0.29665306604566,0.814229242966415,0.333468892933651,0.124551421444219,0.101335922645955,0.289108796071506,-0.545003784635147,0.82606015497895,-0.279816006927555,0.256610564889006,0.441323301946103,-0.00719233479405103,0.199117661048936,0.0521356059955592,-0.0767750962498517,-0.00270632226007019,-0.0856766960123075,0.0575450317538779,0.212863978695933,0.126504725976591,0.103107388839396,0.00731503818833602,-0.0183181101647546,0.0176658967884666,0.00447864056707704,0.00263273905517778,4.14081453588569e-15,1.71814849799818e-14
"2",-253.559260748718,-58.0310044024785,-51.7048880524384,-14.1079808549802,-1.47456929196411,2.9446333244721,-22.8558051626032,0.49231150265134,-1.5361008200385,-1.57077554979901,-0.377322843975261,0.262092157481286,-0.450729375712737,-0.351630135279152,-3.01718205750265,-0.903296569327603,-0.0155701922989768,-1.09357670451122,-1.70668513054374,0.810441077903846,-1.34140757034869,0.124802419668503,-0.156585204229646,0.460302326818178,0.0822551524897231,0.04631660217549,-0.142108693919999,0.0564837228110667,0.0617032031763671,0.0218959937052888,-0.0367588042334265,0.256456848228658,0.108331881819597,0.117138761182111,0.0373087052472277,-0.0391212734324262,0.00585943802006043,-0.00114247701539758,-0.00844017908305643,2.84951864806751e-15,1.79332170742038e-14
"3",-253.560290773066,-58.0875379072148,-52.0139366977408,0.48829784118131,2.03350302453065,4.12343846532041,-24.8659533144508,2.33009893111157,-1.8572853735313,-5.76809687947192,0.32375160028818,0.839485698930241,-0.167536100534083,0.560585620784414,1.24972884525137,0.7536904860448,0.363512532476781,-0.303075891112197,-0.379189575479599,0.125269124532296,0.240833737251229,-0.382525170006653,-0.100814957466001,0.433155890184891,0.00686838981173751,0.011377931828912,0.225685618430851,-0.0404297437732799,0.384863749561008,-0.0260483928121356,-0.235407982254915,-3.76175798359192,-0.970988024619792,1.76789739020386,-0.0995909084038343,0.416873841089194,-0.00414923468636348,0.00276019613240799,-0.00128840764357168,-2.46706020925361e-14,2.03441385860598e-14
"4",-253.469687088252,-58.2180625853674,-52.0357054749534,-10.826589210657,0.24866292606194,13.2643141369732,-76.6477119998886,-2.67811576658038,1.04684119642934,1.91326545066151,-0.874449984191404,-0.30282902757549,-0.0333472527437381,-0.22701305624521,-0.124860047143613,0.494684095091966,0.817296458858948,0.161534164248085,1.13756375607647,-0.669808724597132,1.50287880274845,-0.358499721647395,0.680367554054288,0.96078287247708,0.478816114122886,0.423940257821343,0.284958545522218,-0.18265749710148,0.109724289777123,-0.176027537592017,0.128238947603194,-0.0523482835530116,0.566138779766301,-0.475761724415968,0.0122691954501066,-0.172540486683729,0.0251918884709183,0.000608524582802244,-0.00594800402828427,1.82106544194627e-14,1.67703293173917e-14
"5",-253.597773247488,-57.9753673681941,-51.6449473341762,-11.9354065110732,-1.33775411035027,-1.1106931538166,-1.10499918084951,-0.575301210565498,-1.62405395812751,-0.190106053326015,-0.458724362085525,0.496391759206643,-0.24194604811476,0.58072860497987,0.862906378676086,0.551532702362258,0.306633868447752,-0.153393971778916,-0.278418303635425,-0.310499468303296,0.347618750029292,-0.143088634424741,0.0830331926767613,0.234153320140311,-0.269812955308613,0.089948819013736,-0.0764727483991658,-0.0167273169179949,0.0107556451592014,-0.0362612375525869,0.0100196636173275,0.0682834675621786,0.0433309229728316,0.0362868495338848,0.0265604682563209,0.0101658230230452,0.0104726908567787,0.00507242591077292,0.00502331367829104,6.14947318792764e-16,1.77771599022091e-14
"6",-244.603120644065,-58.0207737212635,-51.6467386759571,-12.707932954386,-2.59399792730569,-1.57922923965229,1.91739059781747,-0.406250418100123,-1.28177509451354,1.5573375184997,0.212500814460907,-4.5961122103904,0.693448964906397,0.250452300396519,1.02446991200959,-0.212442220567498,0.0402727939345186,-0.279191118601955,-0.306854419926103,-1.14753106323958,-0.886960080594453,1.78724966082216,-0.182282359852293,-1.18345989141159,0.260842682557236,0.243330675456932,-0.221690846311191,-0.0570941154960302,0.0502396035113648,-0.0835616938912824,-0.0208845020964187,-0.372439516012016,-0.241329741784891,0.30650948976427,-0.00983934161407401,-0.754633308929869,-0.0321225934274503,0.00129195706529935,-0.00165802276913279,-7.48685644529483e-15,1.77046164809558e-14
"7",-252.552162214179,-58.0733694999966,-51.7920931900951,-11.234304183072,-0.73078461691782,3.79302050548048,-27.8075253940382,1.57824330062501,-1.61580491348902,-4.05436441808039,-0.151999885176315,0.599947418646089,-0.10829717154401,-1.16054888178412,-1.83006727461786,0.582227931771117,0.39949305876872,-0.287304375450007,-0.70194950888592,-0.589975024581245,0.0818550684258556,0.997914192021849,0.974610894035277,0.534366100952626,0.265071752526956,0.337299964075667,-0.0862587389957824,-0.0611246388885775,0.00138840810258522,-0.0616719402161396,-0.0338186978168049,0.317676590551562,0.0570372435544964,0.125030217556019,0.0634095683802191,-0.0166447476842153,0.0123208674469192,0.00242424412983469,-0.00697459927160664,8.3523064817873e-16,1.7683150169875e-14
"8",-253.564609756795,-58.1195655847441,-52.0070982025168,0.53590414082242,1.89897883679208,2.82636451308948,-24.3126972190062,5.30985945757529,-2.68505070433256,-11.0237426316064,0.88608973661245,1.35212232823475,0.260873967090632,0.353926686877605,-0.575446673674041,-0.193055802206739,-0.273802763277773,-0.592801499524886,-1.35410245737071,0.106367194643019,-0.489628119666898,0.550704187942446,0.00924211835514338,0.459716930733036,0.0621230829778809,-0.0217954340329566,0.0425447697465073,0.0184379000486728,0.439725102646821,0.0227505739997086,-0.122134949815671,-2.08322023018382,0.803500324615853,-1.5251585838829,0.0135401567629201,0.24334718380269,0.00265477458700359,-0.00457498485799045,-0.00985075635972149,2.14060791769746e-14,1.8829862964781e-14
"9",-253.592944295586,-57.9840225482291,-51.658031896888,-11.9489023123873,-1.28901660588616,-0.552051027549869,-4.11037580433647,0.0507171147754155,-2.20864664544572,-0.869841230429838,-0.452874664887062,0.453964494353226,-0.864684030757533,0.454311823949003,0.946117229944804,0.632309989209574,0.288344973888887,-0.141018285887165,-0.197444084974397,-0.312832121350796,0.320363666480101,-0.16970336339377,0.138826254242531,0.266613610404547,-0.121661994611022,0.132199203163203,-0.0887734943983011,-0.0260170143938515,0.0164360138277863,-0.0277539277810274,0.013337947530155,0.100626462071094,0.0480988679261513,0.0498803005596362,0.0299207818537999,0.00501573863644186,0.0120337216970617,0.00539870338172227,0.00456690385989229,8.75155840189285e-16,1.76557292588907e-14
"10",-253.474481522182,-58.1597784323234,-52.353549069242,5.73202883116237,4.39782968573674,15.8976078071442,-70.1533630953919,-2.65876178741137,1.51105671896191,2.77490555981771,-0.46907724681783,-0.430232855013634,-0.132656699914646,0.152424466068043,-0.31704540925001,-0.361951417987912,-0.412271162034687,0.382372855679968,1.04851780314477,-0.523327411477788,1.47850923400997,-0.876762070664048,0.127881243179998,0.62552546450421,0.23196178612782,0.25509074389997,0.152906458898709,-0.120638431948462,0.0568414818879538,-0.126730963608318,0.0514038250363549,0.490198160593674,0.256226545937466,0.245260966571718,0.00508550990496664,-0.0786615495578548,0.032876999595234,0.001261806430058,-0.00362943155648658,1.00780552676549e-14,1.89684767162541e-14
