"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41"
"anchovy.y",3.91892382473036,2.282047407934,-53.3756001252319,2.72604365780416,0.31908039504391,-0.0660634980512803,0.0462885776130104,-0.0165501469493262,0.00510199008392655,-0.0167522171008876,0.00227967597379336,-0.00186032855674197,0.0015765925379673,-0.00280708641441835,0.00115481037324618,-0.000564911446961268,-0.00200934374441883,-0.000255390591813493,-0.000624368989164693,0.00073689826304672,0.00119657227512432,-0.0003660658404754,-0.000475943839431017,-1.91260655424342e-06,-0.00026922464491245,-0.000180831374696019,-7.39360400955454e-05,5.3651600625011e-05,3.10419704350462e-05,4.86538887591052e-06,1.95344424276747e-05,2.01495795699736e-05,3.45654006749585e-05,7.72008886051372e-06,2.62221524797489e-05,8.35982627783408e-07,4.8790502584464e-07,0,0,0,0
"bluecrab.y",-0.0193042584457058,0.0998869246097309,-0.0673455846462122,0.352271675808513,-0.0151690268900573,0.0806790462868622,-0.159423698489042,0.0727052872284522,0.106674688750436,-0.0770304792505397,0.212691793181416,-0.117965206469519,-0.0182506040295824,-0.0625086776909929,-0.199103629816557,0.133447460786202,0.264339380225367,-0.396389125469305,0.539142549405664,-0.409746637346967,-0.07682400995448,0.184290302332474,0.301157775987339,0.0328109833171907,-0.0343589634391142,0.00995608638056515,0.0157437726999178,-0.0121349643217791,0.0116115280932994,-0.00268331007519022,-0.00636852884031767,0.000780769434185502,-0.000217343738696786,0.000502814431817437,0.00223815214867397,0.000192781630916225,0.000100539118128784,-3.74605088886034e-30,-7.19684653524894e-31,0,0
"bluefish.y",0.0076943439325091,0.000782609313193446,-0.0174537200238195,-0.000896497170691114,0.00160330789559114,0.000120488395736202,-0.00282615541368677,0.00266038421137216,-0.00063761181672613,0.00397726000717374,0.0073935490844616,-0.00220523921329032,-0.0022851404490227,0.000698456389129607,3.63633665399148e-05,0.01006078338448,0.00159867622005987,0.000133904634845792,-0.00635784288423743,0.00435827886059317,-0.00184055804730044,-0.00242596517019542,0.00608458391656246,0.00767215849058657,-0.00226805420300293,0.00271546137275915,0.00341264146944036,-0.00181592281118141,2.53294170072394e-05,0.000611646290859183,-0.00132440624572663,-0.00207693114865447,-0.122360834726263,-0.0012330231351804,-0.0137233822710027,-5.02591125755382e-05,0.000186249585342873,-5.93226452860071e-29,4.1904340060623e-31,3.07711323013528e-30,0
"butter.y",-0.0464826854721663,-0.189262277357045,-0.137111925136225,-0.0769840234676895,-0.0309217174633564,0.0828156834409599,-0.0497986829920755,0.0272487309819501,-0.0486074463958051,-0.0129539085637415,0.0303092035716913,0.0615850423062901,-0.0941772906168694,1.38645889047674,0.0803337923148335,-0.0966704784307933,0.176339573332169,-0.0777595788835359,-0.000104731356061132,0.0263401124302466,-0.0360363585907524,0.0397669032554174,-0.00300701908266195,-0.0134645301505574,0.0431365912763244,0.0328248594019518,-0.00812427089891267,-0.0128523052259925,0.00282130560898388,0.00195118597197639,-0.00186314332003885,-0.000905161140154521,5.71165654832677e-05,-1.6524433436387e-05,-0.000415889260236363,1.3260522321548e-05,-3.44656643127339e-05,1.24028102603496e-30,-4.25210305902283e-31,-1.07946896863401e-30,0
"calico.y",0.485413108546921,-5.28701729998534,3.22240168919089,44.4764983243251,0.00889327519136216,0.172950593623409,-0.096754625280364,0.0292158269887983,0.00813984746844465,0.089273074964401,-0.0299583593547085,0.00364852654214964,0.00616369552141767,0.00482014275288676,-0.00183194042909004,0.000567798490477531,-0.00715866998656329,0.00694954738965193,-0.00290350887862212,-0.000852104572447136,0.000526555490278971,-0.00232814727644141,-0.00108242328278306,-0.00164773159343868,0.00102627110367006,0.000944188728414467,-0.000790733709630278,-0.000279422372430289,-8.81698204987284e-05,5.32128614693965e-05,0.000209082394661089,0.000116026853814493,-7.13114122016577e-06,9.59689524719543e-06,-3.94986150765671e-05,-5.38183620293925e-06,-4.75042024149276e-06,1.47423183076384e-30,2.40873977907229e-31,9.59335518435109e-31,0
"clearnosesk.y",-0.0132392075333094,-0.0235558333523641,0.00264228773164862,0.0325162960974412,-0.0034353836689707,-0.0359444149977857,0.00788632280109488,-0.00707137023533899,-0.0375095946779583,-0.0139871648099934,-0.0260157556201647,0.00361011961453246,3.74961516691913e-05,-6.27417634070452e-05,-0.00411224931899028,-0.00982182282201254,-0.0151355655213617,0.0120665571655899,0.00256511877272493,-0.0103829135555386,0.00706062715602589,-0.00958629994303361,0.00175858080178854,-0.00440778129476839,-0.0213765678082678,-0.0268451310886106,-0.0375830119676133,0.00469590137093843,-0.0200244202861695,0.0720092078381956,-0.138722309892556,-0.161785700797684,0.00128441853939214,0.00199253836392656,-0.00032948853128849,0.000291475552215309,-0.00080621423902242,-2.99093540927172e-29,-1.38377773343362e-30,-3.34047233724936e-30,0
"cunner.y",0.103454199999691,0.0786477092514246,0.0395944948934437,-0.119974856226618,-0.0345062842908875,-0.0343509159529195,0.110872406133838,-0.0758029062552559,0.0526889376585604,-0.0374184179157218,0.0863262787907001,0.0597524438414774,1.64906244869736,0.0970115590539138,-0.212741839326742,0.0432559334192733,0.0225371266039039,0.00697933101447447,-0.0107723157472404,0.0122487554244854,0.00706485211360578,0.0139751166738984,-0.0304034498518203,0.0307010457203482,-0.00874859054400176,0.00546822979101965,0.0237028052191824,-0.000329495910688083,0.00019451903714826,0.0013458374682964,-0.00161147625501402,-1.97115350576996e-05,-7.64347768431931e-06,0.000109556143255922,-6.45897299130481e-05,5.89034294062147e-05,5.2428003456649e-06,-3.63882050409726e-30,1.27940419782686e-30,1.53629993477478e-30,0
"dog.y",0.000155828329745939,-0.09373672570131,0.0120956671820833,-0.000148604268285947,-0.0141031184131571,0.0185378076799965,0.00654151774173233,-0.00148527146134073,-0.0650086286221994,-0.0592947596035049,0.139907946533153,-0.00611855637807725,0.0116857392160986,-0.00920284802424463,0.00436890609281599,0.0315609059032832,-0.0639401225668542,0.0388318011210784,-0.0149143981731219,0.0149481675577894,0.0125763674558645,-0.017902590716381,0.00991789489696508,0.0409283735720056,-0.0520998983844331,-0.0665584306388396,-0.103785966034307,-0.352580374860311,0.0237144392828363,-0.0143640183171466,-0.000101407764303618,-0.000249665538744512,0.00068098017233507,0.000368515598889476,-0.00123812043317104,1.30344178376436e-05,-1.61263163389292e-05,-1.31320321074614e-30,1.64529812768634e-31,2.16699255075838e-30,0
"fluke.y",0.025675602472161,-0.097114023443755,-0.0712826269286551,0.0363426545828472,-0.0339871869581747,0.0557374076901878,-0.127909922977163,0.0343686483626656,-0.0496394713415724,-0.162265361197367,-0.0404096350700053,0.0211365927653098,0.028692001083856,-0.0849423962547643,0.0849104513730584,0.0513160570869214,0.0365588303246001,0.0412711802162355,0.0153399802132406,0.0959578145803742,-0.789141760426346,0.0293193838447233,-0.0773319097552591,-0.0537252194717267,0.0318786665851832,-0.00117786629126608,0.0285950067598844,-0.0156256480291799,-0.0101354322067141,-0.00853687223866477,-0.00567969191693404,-0.0027201699069114,0.000377906058185624,0.000299344832281368,-0.00150856310752384,-0.000130775248467128,-0.00017887050177874,-4.00736966669465e-30,2.28180398332763e-30,1.15517903942261e-30,0
"herring.y",0.019254176793136,0.0494939381168707,0.0176023269867944,0.11554431425895,0.0243460728943583,0.0561740264748394,0.0108555663465163,-0.0111852896983594,0.0171500094080719,-0.0109868847748955,-0.0246746944949242,0.0783354722241174,-0.0269108458123295,-0.0262090899906506,-0.0416478655982153,0.0715225893865216,0.0904471041119486,0.0276427760856344,0.633997723550544,0.70603121760297,0.084024983044638,0.021191620057566,-0.0410817523304493,-0.0228298825802968,-0.0274106948778017,-0.0192260339673648,0.00445096520497209,0.00209845700861418,0.00324898283444038,0.00204272438592606,-0.000344140586027981,-0.000525253269588549,-0.000111583272410566,-6.86124766383237e-05,-0.000176068688469314,3.78650522601537e-05,-7.50007615217904e-06,1.11043662590367e-30,-1.84965681097009e-30,-1.98732386044982e-30,0
"hog.y",0.111817003875842,-0.198907254924113,0.0237874795150686,0.188598358240027,0.0467659809280139,0.0582099896745479,-0.13067960264995,0.0568909025474008,0.0605217158630062,-0.0108988391822147,0.409996719711312,-0.0360899287534484,-0.0362064195909089,-0.0655031722655086,-0.0755695537739118,-0.0909735793739609,0.134639609355029,-0.161184728707542,-0.0502146099227323,-0.0707022170129122,0.0851355922734965,0.390780191939629,-0.332303616725221,-0.30577620821637,-0.0182780597772383,-0.185812890452117,0.0101767277129642,-0.00378383709731069,-0.0200863439000778,-0.00834967576084099,-0.0010976474121744,0.00212282398386004,-0.0015831344072822,-0.000250547947090232,-0.000651834679984819,-5.00154281076649e-05,1.69108345711767e-05,1.02713349257183e-30,3.72371987840947e-30,2.65847779596231e-32,0
"horse.y",0.057301188166249,-0.0350241892583888,0.0168454417898296,0.161442254915371,0.0474032347027321,0.00524823080380027,-0.143323719483833,0.106813301724314,0.0385588013722672,0.0961471032898853,0.0527868479930539,-0.0338724260865328,0.0146401112450939,-0.065629154927428,0.213425724366006,0.610460170302553,0.152294243931093,-0.687945203440755,-0.407341239796145,0.298431898492485,0.0245405808901939,0.0234259565573902,0.0804324655171036,0.00494966837604013,-0.00745811515644887,0.0305171639003985,0.00189238595824749,-0.0031808176519617,0.00354838477807295,0.00585328824733846,-0.00386307490486065,-0.00201511008959428,0.00118830510060113,-0.000128112985564526,0.000669092486268229,0.000190461086915157,1.21333742981827e-05,1.5004797255878e-30,3.01069774926726e-30,2.32809048496342e-30,0
"jack.y",-0.00201064601484998,0.00383131842373874,-0.0121955162385415,-0.00417046923988334,-0.00157871271937127,-0.00173421395636507,-0.0105653298777618,0.00311293401931245,-0.00137412827116416,-0.00101967036200761,0.00597386269864442,-0.00703419422292076,-0.00236490126046455,-0.00350536979675082,-0.00815583492719827,0.00380826283501842,-0.000277260336872755,-0.0195665573061672,0.0113253549483192,-0.011053724636502,0.00807968597797476,-0.00314207119358862,0.00414075128982244,0.00673110257834672,-0.00102247967435432,-0.000479127917519237,0.00231848742709454,0.00444475949989362,0.00143662816560905,-0.00463503291466582,-0.00190426515854181,-8.15803463755061e-05,0.0153864051572155,-0.0308529725341727,-0.1033353356091,0.000256770076532498,-0.000773965777729341,4.13748265059881e-29,3.70206877635697e-30,-3.0808908629552e-30,0
