"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",16662.3670620145,46.5525671921832,46.5525671921832
"Dim.2",8609.49373803085,24.0538474658897,70.6064146580728
"Dim.3",4185.72215765148,11.6943835930789,82.3007982511517
"Dim.4",3417.6646221801,9.54852701133273,91.8493252624844
"Dim.5",1820.33323060894,5.0857831132092,96.9351083756936
"Dim.6",532.862960747837,1.48875238986844,98.4238607655621
"Dim.7",287.28665336669,0.802642936894544,99.2265037024566
"Dim.8",85.1175467821029,0.23780776771152,99.4643114701681
"Dim.9",66.073274768258,0.184600456334265,99.6489119265024
"Dim.10",39.166818876568,0.10942718766604,99.7583391141684
"Dim.11",34.1373149304352,0.0953753834101206,99.8537144975786
"Dim.12",11.2453279766831,0.0314180382825743,99.8851325358611
"Dim.13",9.38142376837234,0.0262105233134083,99.9113430591745
"Dim.14",8.6912685247091,0.0242823159804349,99.935625375155
"Dim.15",7.43574512768895,0.0207745408195825,99.9563999159745
"Dim.16",3.57193162874099,0.00997952971111328,99.9663794456857
"Dim.17",2.70185829246277,0.00754865375582617,99.9739280994415
"Dim.18",2.0475618318545,0.00572063137264915,99.9796487308141
"Dim.19",1.64697271488482,0.00460143553962124,99.9842501663538
"Dim.20",1.29295988623946,0.0036123680241193,99.9878625343779
"Dim.21",0.951012209340836,0.0026570090318592,99.9905195434097
"Dim.22",0.797160830573259,0.00222716754409031,99.9927467109538
"Dim.23",0.735921540390617,0.00205607263540065,99.9948027835892
"Dim.24",0.627051262757186,0.00175190271188984,99.9965546863011
"Dim.25",0.25021620467568,0.000699072745029862,99.9972537590461
"Dim.26",0.202047351683425,0.000564495001234723,99.9978182540474
"Dim.27",0.162271669818042,0.000453366726616743,99.998271620774
"Dim.28",0.132720799839853,0.000370805296111276,99.9986424260701
"Dim.29",0.114062022933345,0.000318675009794132,99.9989611010799
"Dim.30",0.0759746538628158,0.000212263669722805,99.9991733647496
"Dim.31",0.0678287193863984,0.000189504948789268,99.9993628696984
"Dim.32",0.0657704784752297,0.000183754481406196,99.9995466241798
"Dim.33",0.0449254885560696,0.000125516189678469,99.9996721403695
"Dim.34",0.0333763377738725,9.32493085204754e-05,99.999765389678
"Dim.35",0.0217303469238325,6.07118683387626e-05,99.9998261015464
"Dim.36",0.0177915685096176,4.97074146437731e-05,99.999875808961
"Dim.37",0.0147274773110111,4.11467275051918e-05,99.9999169556885
"Dim.38",0.0106218508187382,2.96761211719984e-05,99.9999466318097
"Dim.39",0.00908085101366225,2.53707606729801e-05,99.9999720025703
"Dim.40",0.00534626900348812,1.49368061624179e-05,99.9999869393765
"Dim.41",0.00467473472800505,1.30606234829144e-05,100
