"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",161395.357087417,97.2524312055994,97.2524312055994
"Dim.2",2083.18843677068,1.25527241793956,98.507703623539
"Dim.3",1035.60813424999,0.624029158270989,99.13173278181
"Dim.4",505.725576762491,0.304736410951196,99.4364691927612
"Dim.5",321.783800106088,0.193898123512584,99.6303673162738
"Dim.6",262.528282117586,0.158192367840768,99.7885596841145
"Dim.7",214.55464763538,0.12928476683316,99.9178444509477
"Dim.8",45.4029904170079,0.0273586011502607,99.945203052098
"Dim.9",28.6697588206083,0.0172756131136545,99.9624786652116
"Dim.10",18.2382689523978,0.0109898824142852,99.9734685476259
"Dim.11",13.4608987150937,0.00811116967600335,99.9815797173019
"Dim.12",6.75928751758016,0.00407296192508366,99.985652679227
"Dim.13",3.73710943322973,0.00225188000833331,99.9879045592353
"Dim.14",3.45184791161544,0.00207998921167693,99.989984548447
"Dim.15",2.72745590972028,0.00164349038914861,99.9916280388361
"Dim.16",2.39195202844074,0.00144132491969413,99.9930693637558
"Dim.17",2.07338846932567,0.00124936722539275,99.9943187309812
"Dim.18",2.04690326925304,0.00123340796767609,99.9955521389489
"Dim.19",1.76979580253203,0.00106643058164604,99.9966185695305
"Dim.20",1.07260732268314,0.000646323858023776,99.9972648933886
"Dim.21",0.974927442577844,0.000587464631887758,99.9978523580205
"Dim.22",0.778538623603914,0.000469126096929368,99.9983214841174
"Dim.23",0.749825653846993,0.000451824446086458,99.9987733085635
"Dim.24",0.653399526905668,0.000393720697341663,99.9991670292608
"Dim.25",0.438472841195234,0.000264211750532369,99.9994312410114
"Dim.26",0.233663915820701,0.00014079948958058,99.9995720405009
"Dim.27",0.175579974937084,0.000105799694252673,99.9996778401952
"Dim.28",0.160891365631799,9.6948739728656e-05,99.9997747889349
"Dim.29",0.0758620489777493,4.57123973853122e-05,99.9998205013323
"Dim.30",0.0643341453292353,3.87659977071935e-05,99.99985926733
"Dim.31",0.061912189335987,3.73065932183221e-05,99.9998965739232
"Dim.32",0.0537856307986071,3.24097511445644e-05,99.9999289836744
"Dim.33",0.0510693770155407,3.07730108507806e-05,99.9999597566852
"Dim.34",0.037865577597714,2.28167621847225e-05,99.9999825734474
"Dim.35",0.014181139682366,8.54516719851677e-06,99.9999911186146
"Dim.36",0.00666679721859399,4.01722979869748e-06,99.9999951358444
"Dim.37",0.00400475841757581,2.4131579713869e-06,99.9999975490024
"Dim.38",0.00230579205992781,1.38940727744162e-06,99.9999989384096
"Dim.39",0.0017617632029478,1.06159035666953e-06,100
"Dim.40",9.22113886408768e-28,5.55640626347907e-31,100
"Dim.41",9.22113886408768e-28,5.55640626347907e-31,100
