"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41"
"anchovy.y",0.773342991316757,-0.0491184819655102,-0.031027263762538,-0.108609203275436,-0.0306449339618115,0.104413463876656,-0.169714017652858,0.0184836232867821,-0.122527578834438,0.333758717759954,-0.204461899551836,1.34929803415416,-0.0637337004379074,0.0228722849008112,0.0609905827324547,-0.0557612057612006,-0.00545808763907464,0.0241456420068413,0.0226458891571869,-0.0118616649160585,-0.00442079303058925,-0.0028783676403006,-0.00113351316718006,-0.00643065114692191,-0.010517193110287,0.00870542861029808,0.00182361073029019,0.00507863559282934,0.00125794199151932,4.65450380961105e-05,0.000618525386513663,2.4613334839788e-05,2.13319262862014e-05,1.25787757022644e-05,0,0,0,0,0,0,0
"bluecrab.y",-0.0102557540541844,0.0177512234972028,0.00804553612562477,0.0606670963109444,-0.0160599313241036,0.0164690550696764,0.0013160932294984,-0.000314347693462714,-0.0186428760687349,-0.0069520356414168,-0.0100321615914663,0.000471199355247078,-0.0152838709525109,-0.00274328951296888,-0.00724867152163245,-0.019476708192116,-0.0603404666657627,-0.0650351673093837,0.000278683758940152,0.0963249298507377,0.0780245439198857,0.0381140949436887,0.00496082363294921,-0.048164262158013,-0.00378495887422138,0.00609283142946605,0.0210884413844773,-0.00780753636685576,0.159587496966669,0.113794384568996,-0.0207815478493096,-0.000872279494636221,-0.000906420784051897,-0.000122454843492874,2.76395393070026e-29,-5.48222267246333e-30,5.44415168168234e-30,-9.21317976900088e-30,3.42638917028958e-31,-2.13197548373574e-30,1.88232272149743e-30
"bluefish.y",-0.00418407878363068,0.106363673693425,-0.00368565305005447,0.00931246366574948,0.0319100451008696,-0.0034190504697867,0.0140113585681192,-0.00437724033343223,-0.000117629225952413,0.000443839260163649,0.00481779803176083,0.00808361780563054,0.0480418805349111,-0.0106120570501278,0.0160295132262599,0.0281736118129752,-0.0229625049741903,0.0516107839645867,0.00279077663530566,-0.00954710870672512,-0.037289786657878,-0.0726917993373652,0.385344210357798,-0.0384604890952284,0.0288640530009122,-0.0262183138914921,-0.0216718079501381,-0.00310231088720897,0.00418724503270484,0.00148220166990525,-0.000354273655959252,0.000353463726922686,0.000566213917355301,4.36009234115127e-05,-3.53976969586113e-30,-3.04584437588884e-30,3.54076610942088e-30,2.51240790928855e-30,3.33224365214466e-32,3.92124783967227e-30,1.27837936463956e-30
"butter.y",1.42334694097981,1.34550644736814,-0.523341013583013,0.109397110204124,5.77334077148881,-1.06970031372699,0.193463897172632,-0.543204443370367,0.0115297975029216,-0.0582842877613117,-0.0281952290528298,0.0198798347824518,-0.00787382330539227,0.00682089902813773,-0.000127872791813686,-0.00394226493647594,0.00407492447875897,-3.84736446912548e-05,-0.00119477376328271,0.000708179544953255,-0.00211744569151037,-0.000964604443312837,-0.00225023815715751,0.000127226355678042,-0.00156865661901369,0.000570600748070002,-0.00109116744634884,0.00131750259908789,0.0010615262506015,0.000183087636565963,-1.3383080245706e-05,0.000121070397964426,-0.000342922305998967,9.76339468132846e-06,3.99558640326354e-30,-1.01391486957083e-30,-1.33744431415733e-30,3.17133392235804e-31,-4.79933592898738e-32,9.92540368451568e-31,2.80765175360978e-33
"calico.y",-1.55339638058691,-5.50165562959333,22.915931663009,0.402560625308593,0.277191995044805,0.400917135622733,-0.131717347299401,0.0929800321772617,0.0245217159480067,-0.00676435152188361,0.00419188350997456,0.00181487340545945,0.00503086398946735,0.00230233713432119,-0.000674564969139719,-0.000175771685277618,-0.005831960592899,0.00200956783930473,0.00078898680573066,0.000568614461741579,-0.000482226815836882,-0.000243730278314326,-5.79511046495791e-05,0.00145828075415015,0.000939997393117093,0.000174992420593258,0.000431218681581322,0.000325831252165053,-7.40404810331545e-05,-0.000113117318401615,0.00014684994837572,4.53908865925981e-05,-1.80693168583473e-05,-4.12762662872661e-06,1.31973956054696e-30,-2.53652926334036e-31,-6.69188238309253e-31,-8.27389168396072e-33,-1.64520089857191e-33,1.96152937696241e-31,-2.45415827823962e-33
"clearnosesk.y",-0.0047115859609364,-0.0110643000040373,0.0312789773864925,0.0117227113852704,-0.00804791689256968,-0.072022930344744,0.00273533750358916,0.054726100348159,0.0120164982975828,-0.0107875788563739,0.0146766358478078,0.0082457280945579,0.0120146870815787,0.00108476713211837,-0.00601556475453152,-0.0145178836328183,-0.0195513640299635,-0.0614634542852423,-0.022043487689718,-0.0188237679399114,-0.025894697940484,-0.019024927922938,8.76510661410313e-05,-0.00487006139285297,0.00708980882169496,0.0154323120654333,0.0145241995031893,0.0279207728457483,-0.0248915705069989,-0.0138382765970898,-0.147324855939642,-0.0021755862029806,0.00299801477533016,-0.000279783801949417,-6.91249192496943e-29,-1.22890372934747e-30,2.97124365572255e-30,-5.09593045768219e-30,1.68452520069236e-30,-8.82076976625502e-30,-9.69826300100348e-32
"cunner.y",-0.251638550180259,-0.145099207311028,-0.031296853603176,-0.216032353759105,-0.032683715714978,0.180753436016137,0.0966916745982316,0.0616342716006509,0.621814650725993,-0.0445989552010764,-1.0735424069477,-0.0444077068568712,-0.0312199510467314,0.0696563368735934,-0.66083927082113,0.0290792023572389,0.0564942236876403,-0.0041221229041554,-0.00815018318263151,-0.00505803828970566,0.00168878994292682,-0.0101901545239094,0.00531434105142664,0.00356376790531811,0.00117770124580196,-0.00476190347221861,0.00294965961365306,0.00123562845942869,-0.00238706356244055,0.0033965103633598,-0.000259827442500789,0.00090240749260203,-2.97829567500148e-05,4.6558670283059e-05,8.84806022606552e-30,-2.99815321085231e-30,-9.54529703474912e-32,1.56706294376708e-30,-1.34099018801737e-31,2.34199621278038e-30,1.42203564473439e-32
"dog.y",0.0458314503105493,-0.0603257705222892,0.136182191313215,0.00423770278783557,-0.0732159121824552,-0.419545586321975,0.00875305379740984,0.174886216823759,0.0563401940831283,0.00833684757506893,0.00711493900977766,-0.02327772613505,-0.0825851521842514,-0.117297785537373,-0.0302205964098333,-0.0266188997165823,-0.0840753439354446,0.0532813645828878,0.0705255000638355,-0.0183602492177009,0.0584558445561591,0.00614181568880059,0.0477202560417563,0.186259504541802,-0.189314682585128,0.132525559191118,-0.0573417133221811,-0.095139667030392,0.0135915017325981,-0.00845132734196136,-0.0102157559882286,-0.00679388430487115,0.00131986614200984,0.000774826774103547,-6.61213853830291e-29,-1.72897541911011e-30,6.69320818980489e-30,-3.19421137696712e-30,5.66459324848903e-31,-1.5667985422242e-30,-1.4231435985419e-31
"fluke.y",0.269138342327354,0.0793061336379802,-0.100184571039184,0.190044043178882,-0.033808381648231,-0.277014601273633,-0.0137416235071499,0.136493149345988,0.0275985934230415,0.185310978095375,0.169284108071484,-0.0234683529816284,0.264202227373262,0.887228409135042,-0.0991096538403355,-0.198372447164257,-0.346240386826198,0.138675591601522,-0.0792739852326992,0.00827184496848272,0.016151493281873,0.00580379358910767,-0.00108297514368583,0.0379568224050588,0.00498752014337637,-0.00180531278149637,-0.001775854058827,0.00255572298239021,-0.00535920365146951,0.00291810549065958,0.000777391848963251,0.000828975826832038,-0.000969192871446936,1.42972896049518e-05,4.73196258557503e-29,2.17028291776176e-31,7.0130020665909e-31,3.63050762298908e-31,-2.14914296361661e-31,-2.76426504876933e-31,-3.05765052676219e-32
"herring.y",0,0,0,0,-1.99059810640376e-15,5.60930571567435e-16,4.99606387506397e-16,0,-4.69764923481303e-16,5.44237304500046e-17,2.06567000634826e-16,-1.1636655934049e-16,-9.69456075578172e-16,-2.39107846795181e-15,2.67334743845052e-16,-1.4869708055347e-15,7.76300613082894e-17,-1.26988379147499e-15,-8.90195258695943e-16,-1.55051310705934e-15,-1.12377750599699e-15,-6.03596722193899e-16,-2.38588995156148e-16,-8.83041298573812e-16,-7.19825921115985e-16,-1.15091686148796e-16,-2.4428184175444e-16,-1.78125299448984e-15,-3.7516572885032e-16,8.88188214099434e-17,-5.0214031784932e-16,1.35516024700226e-17,1.03285909833901e-17,7.27012913649939e-17,2.18432729322148e-14,1.57670754358984e-15,5.30406030357786e-16,7.84902081345111e-16,-1.9756139954235e-16,1.0463582226294e-15,3.23313810796603e-30
