"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",72486.7695464834,60.8449599935267,60.8449599935267
"Dim.2",30648.8300043989,25.7264442481493,86.571404241676
"Dim.3",6645.82381999636,5.57846469061363,92.1498689322896
"Dim.4",5505.54794120523,4.6213239508523,96.7711928831419
"Dim.5",2277.22979057647,1.91149304032427,98.6826859234662
"Dim.6",499.278331754722,0.419091239840258,99.1017771633064
"Dim.7",311.220611826537,0.261236716634245,99.3630138799407
"Dim.8",260.73852940826,0.218862359157047,99.5818762390977
"Dim.9",189.062516915375,0.158697943775996,99.7405741828737
"Dim.10",153.027365883566,0.128450253933989,99.8690244368077
"Dim.11",46.0519980860474,0.0386557712351999,99.9076802080429
"Dim.12",42.3331842111045,0.0355342211528891,99.9432144291958
"Dim.13",26.4988045384807,0.0222429377403308,99.9654573669361
"Dim.14",12.7583957160851,0.0107093209117144,99.9761666878478
"Dim.15",8.60398614270549,0.00722213441036386,99.9833888222582
"Dim.16",7.54878646371263,0.00633640612290954,99.9897252283811
"Dim.17",4.72638428122797,0.00396729864366401,99.9936925270248
"Dim.18",1.26891904483473,0.00106512304246753,99.9947576500672
"Dim.19",1.09972487799149,0.000923102472684604,99.9956807525399
"Dim.20",0.793732664198972,0.000666254442029893,99.9963470069819
"Dim.21",0.714871479878086,0.000600058836472255,99.9969470658184
"Dim.22",0.553979144327788,0.000465006774129413,99.9974120725926
"Dim.23",0.465944761587486,0.000391111240787241,99.9978031838333
"Dim.24",0.367144981937031,0.000308179297788371,99.9981113631311
"Dim.25",0.28992745408308,0.000243363367619765,99.9983547264987
"Dim.26",0.284486831821619,0.000238796541895435,99.9985935230406
"Dim.27",0.257818999486535,0.000216411723235503,99.9988099347639
"Dim.28",0.246256195591325,0.000206705974933865,99.9990166407388
"Dim.29",0.198187157994814,0.000166357112820324,99.9991829978516
"Dim.30",0.195092452149891,0.000163759435278558,99.9993467572869
"Dim.31",0.150641021412825,0.000126447170684985,99.9994732044576
"Dim.32",0.106268955719398,8.92015246334607e-05,99.9995624059822
"Dim.33",0.0922520864963272,7.74358486011561e-05,99.9996398418308
"Dim.34",0.0881681176415043,7.40077896168589e-05,99.9997138496204
"Dim.35",0.0770167623779122,6.46474088310693e-05,99.9997784970293
"Dim.36",0.0749826911958434,6.29400216696426e-05,99.9998414370509
"Dim.37",0.0716679784024113,6.01576716136496e-05,99.9999015947226
"Dim.38",0.0644762513318638,5.41209790057494e-05,99.9999557157016
"Dim.39",0.0437450505104588,3.67193332642149e-05,99.9999924350348
"Dim.40",0.00901241263969381,7.56496516451431e-06,100
"Dim.41",3.46036717170031e-28,2.90461146830391e-31,100
