Year,Station,StartDepth,EndDepth
1991,2,4.8768,2.4384
1991,2,4.572,1.8288
1991,2,5.7912,3.9624
1991,3,3.6576,7.62
1991,5,5.4864,5.4864
1991,6,6.7056,9.144
1991,1,2.7432,6.7056
1991,5,5.1816,7.0104
1991,1,3.048,3.9624
1991,2,5.1816,8.8392
1991,8,3.9624,1.524
1992,1,3.6576,7.62
1992,9,5.4864,4.572
1992,5,5.1816,3.3528
1992,9,4.8768,4.2672
1992,2,4.572,0
1992,8,3.6576,1.8288
1992,9,5.4864,4.2672
1992,7,3.3528,3.6576
1992,1,2.4384,4.8768
1992,2,4.572,3.6576
1992,8,3.9624,1.8288
1992,4,3.048,5.7912
1992,4,2.7432,3.9624
1992,8,3.9624,1.8288
1992,4,5.4864,6.7056
1992,5,5.4864,3.3528
1992,6,7.0104,5.4864
1992,9,3.9624,5.1816
1992,2,4.8768,1.524
1992,7,3.3528,4.2672
1992,7,3.6576,4.2672
1992,1,2.7432,6.4008
1992,6,7.3152,7.3152
1992,3,1.8288,4.2672
1992,5,4.8768,2.4384
1992,7,3.3528,3.3528
1992,8,3.6576,1.524
1992,2,4.8768,4.2672
1992,5,5.4864,3.048
1992,2,5.1816,0.9144
1992,3,1.8288,9.144
1992,4,3.048,5.1816
1992,5,5.4864,3.6576
1992,5,5.1816,3.3528
1992,8,3.6576,1.524
1992,3,3.048,3.9624
1992,4,2.7432,6.096
1992,9,4.8768,5.7912
1992,8,3.9624,1.524
1992,9,5.1816,5.1816
1992,3,3.048,4.8768
1992,5,5.7912,2.7432
1992,3,2.286,6.096
1992,6,7.9248,6.096
1992,7,3.048,5.4864
1992,8,2.5908,1.9812
1993,4,3.048,3.048
1993,6,8.2296,4.572
1993,1,2.4384,1.2192
1993,7,3.6576,3.3528
1993,5,5.1816,3.6576
1993,6,6.7056,6.4008
1993,2,4.572,0
1993,5,5.4864,3.9624
1993,8,6.4008,0
1993,1,2.286,4.8768
1993,4,3.6576,2.7432
1993,5,5.7912,0
1993,3,6.096,6.7056
1993,4,2.4384,2.1336
1993,5,4.8768,3.3528
1993,7,3.3528,3.3528
1993,4,2.4384,6.7056
1993,9,5.7912,6.7056
1993,5,5.4864,3.3528
1993,9,5.1816,5.1816
1993,5,6.096,3.9624
1993,2,5.4864,3.048
1993,3,3.048,7.3152
1993,7,3.3528,3.048
1993,2,5.4864,3.3528
1993,5,4.8768,3.9624
1993,6,5.1816,3.9624
1993,7,3.6576,3.3528
1993,4,7.3152,4.572
1993,6,9.7536,5.1816
1993,8,6.096,0
1993,1,2.1336,2.286
1993,8,6.4008,2.4384
1993,1,3.048,5.7912
1993,3,6.096,3.3528
1993,7,3.3528,4.2672
1993,6,7.9248,6.7056
1994,5,4.572,3.048
1994,8,6.096,2.1336
1994,6,7.3152,6.096
1994,3,6.096,3.9624
1994,6,8.5344,7.0104
1994,2,4.8768,0
1994,9,5.4864,6.4008
