"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",2011211,2.86512,1.55448,27.24,27.29,8.57,8.38,15.06,15,2.1336,2011,21,"may","19/05/2011",1,"spring",41.18111111,41.07,-72.62472222,-72.47972222
"2",2011192,5.334,3.048,27.5,27.5,9.93,9.82,14.02,13.61,4.2672,2011,19,"may","03/05/2011",2,"spring",41.18083333,41.07972222,-72.48944444,-72.64805556
"3",2011203,10.0584,5.97408,27.42,27.3,8.54,8.54,15.16,14.73,3.048,2011,20,"may","13/05/2011",3,"spring",41.12111111,41.08611111,-72.58361111,-72.40777778
"4",2011324,14.7828,6.58368,28.21,28.27,6.03,6.06,25.59,25.13,1.524,2011,32,"august","02/08/2011",4,"summer",41.08444444,41.19888889,-72.50416667,-72.53555556
"5",2011325,3.44424,5.97408,28.11,28.07,5.76,6.17,25.98,26.11,1.524,2011,32,"august","02/08/2011",5,"summer",41.13555556,41.21638889,-72.42388889,-72.58222222
"6",2011216,6.096,5.69976,27.24,27.26,8.58,8.47,15.28,14.79,2.1336,2011,21,"may","19/05/2011",6,"spring",41.17861111,41.06583333,-72.51333333,-72.39416667
"7",2011347,1.95072,3.47472,28.36,28.33,5.27,5,24.67,24.69,1.8288,2011,34,"august","18/08/2011",7,"summer",41.16472222,41.24388889,-72.48277778,-72.62611111
"8",2011238,4.54152,2.04216,27.28,27.33,8.46,8.55,20.12,19.75,2.4384,2011,23,"may","31/05/2011",8,"spring",41.25416667,41.14972222,-72.37805556,-72.51111111
"9",2011209,3.3528,4.90728,27.48,27.47,11,10.27,16.79,16.3,2.4384,2011,20,"may","13/05/2011",9,"spring",41.15166667,41.02083333,-72.56777778,-72.49611111
"10",20112010,4.69392,4.23672,27.53,27.36,10.64,9.9,16.09,15.2,2.7432,2011,20,"may","13/05/2011",10,"spring",41.15472222,41.19861111,-72.67305556,-72.58361111
"11",20112111,3.87096,6.03504,27.33,27.34,8.61,8.58,15.47,15.48,1.8288,2011,21,"may","19/05/2011",11,"spring",41.15416667,41.13694444,-72.54944444,-72.47861111
"12",20112112,2.8956,4.02336,27.34,27.34,8.73,8.76,15.14,15.08,2.4384,2011,21,"may","19/05/2011",12,"spring",41.16833333,41.1775,-72.625,-72.58361111
"13",20113213,8.0772,4.23672,28.21,28.19,6.03,6.29,25.91,25.83,1.524,2011,32,"august","02/08/2011",13,"summer",41.14277778,41.05111111,-72.52277778,-72.41416667
"14",20112314,13.28928,8.26008,27.31,27.37,8.47,8.44,19.98,19.66,2.7432,2011,23,"may","31/05/2011",14,"spring",41.13777778,41.26833333,-72.48555556,-72.43527778
"15",20112015,7.80288,7.98576,27.45,27.41,8.24,8.21,15.38,15.11,2.7432,2011,20,"may","13/05/2011",15,"spring",41.15638889,41.04722222,-72.47861111,-72.39111111
"16",20112616,3.2004,3.87096,26.7,26.87,7.75,7.86,22.97,22.68,2.1336,2011,26,"june","20/06/2011",16,"spring",41.07972222,41.19611111,-72.60333333,-72.61944444
"17",20112917,3.74904,6.58368,27.41,27.43,6.61,6.78,25.88,25.3,1.524,2011,29,"july","11/07/2011",17,"summer",41.145,41.02944444,-72.56333333,-72.46333333
"18",20111918,8.56488,7.37616,27.44,27.51,9.85,9.72,14.25,13.73,4.8768,2011,19,"may","03/05/2011",18,"spring",41.13888889,41.01527778,-72.53888889,-72.63472222
"19",20112119,5.0292,10.75944,27.34,27.33,8.56,8.49,15.48,15.41,2.1336,2011,21,"may","19/05/2011",19,"spring",41.14,41.25138889,-72.53888889,-72.54416667
"20",20112020,13.07592,11.39952,27.42,27.42,8.12,8.06,15.14,15.04,1.8288,2011,20,"may","13/05/2011",20,"spring",41.08694444,41.24611111,-72.41083333,-72.63666667
"21",20112521,5.27304,12.22248,27.49,27.48,6.67,6.61,21.08,20.96,1.8288,2011,25,"june","14/06/2011",21,"spring",41.13222222,41.19083333,-72.51166667,-72.41527778
"22",20112922,6.91896,7.7724,27.44,27.52,7,6.46,25.32,25.18,1.8288,2011,29,"july","11/07/2011",22,"summer",41.15055556,41.25722222,-72.49833333,-72.365
"23",20112623,5.76072,6.7056,27.57,27.58,8.25,7.56,22.31,21.28,2.4384,2011,26,"june","21/06/2011",23,"spring",41.14472222,41.01722222,-72.47972222,-72.45388889
"24",20112124,7.37616,8.35152,27.22,27.35,8.53,8.43,25.43,24.78,2.4384,2011,21,"may","19/05/2011",24,"spring",41.14,41.25472222,-72.46444444,-72.57888889
"25",20112525,0.88392,3.41376,26.94,27.07,6.57,6.58,21.45,21.47,2.4384,2011,25,"june","13/06/2011",25,"spring",NA,NA,NA,NA
"26",20112426,4.8768,3.5052,26.95,26.97,7.26,7.47,21.54,20.9,1.8288,2011,24,"june","06/06/2011",26,"spring",41.10861111,41.24416667,-72.48972222,-72.65833333
"27",20112027,3.6576,2.37744,26.96,26.98,8.14,8.14,15.82,15.75,3.3528,2011,20,"may","09/05/2011",27,"spring",41.11805556,41.23972222,-72.59444444,-72.52222222
"28",20111928,3.6576,6.52272,0,0,0,0,0,0,3.3528,2011,19,"may","02/05/2011",28,"spring",41.12222222,41.00194444,-72.60722222,-72.49666667
"29",20111929,8.01624,8.93064,27.39,27.41,9.83,9.66,14.28,13.88,4.8768,2011,19,"may","03/05/2011",29,"spring",41.12638889,41.00555556,-72.56027778,-72.51611111
"30",20111930,10.3632,10.11936,27.49,27.47,9.76,9.66,14.3,13.85,4.2672,2011,19,"may","03/05/2011",30,"spring",41.11944444,41.03861111,-72.54583333,-72.44361111
"31",20112331,8.382,10.88136,26.87,27.16,8.12,8.52,21.14,20.13,2.1336,2011,23,"may","31/05/2011",31,"spring",41.11861111,41.00083333,-72.53,-72.43861111
"32",20112132,3.6576,9.32688,27.12,27.2,8.85,8.44,15.75,15.59,1.8288,2011,21,"may","19/05/2011",32,"spring",41.11888889,41.25833333,-72.54666667,-72.5525
