"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",2001221,3.048,5.7912,27.75,27.75,8.31,8.47,15.94,15.92,2.7432,2001,22,"may","30/05/2001",1,"spring",NA,NA,NA,NA
"2",2001212,4.8768,1.8288,27.92,27.89,7.64,7.67,15.34,15.23,3.048,2001,21,"may","24/05/2001",2,"spring",NA,NA,NA,NA
"3",2001203,9.144,5.1816,28.01,28.11,8.55,9.61,15.8,15.08,3.3528,2001,20,"may","17/05/2001",3,"spring",NA,NA,NA,NA
"4",2001244,5.4864,5.4864,27.84,27.85,7.92,7.98,20,19.9,3.6576,2001,24,"june","12/06/2001",4,"spring",NA,NA,NA,NA
"5",2001215,3.3528,5.4864,27.9,27.9,7.58,7.55,15.21,15.21,3.3528,2001,21,"may","24/05/2001",5,"spring",NA,NA,NA,NA
"6",2001236,7.9248,15.24,27.59,27.9,8.22,8.18,17.7,16.97,3.3528,2001,23,"june","05/06/2001",6,"spring",NA,NA,NA,NA
"7",2001257,2.80416,4.2672,27.72,27.72,7.56,7.93,22.9,22.89,2.7432,2001,25,"june","20/06/2001",7,"spring",NA,NA,NA,NA
"8",2001198,3.6576,0,27.79,27.82,10.16,10.61,15.94,15.52,3.048,2001,19,"may","09/05/2001",8,"spring",NA,NA,NA,NA
"9",2001199,3.048,6.7056,27.61,27.63,13.99,13.53,17.15,17.02,3.6576,2001,19,"may","09/05/2001",9,"spring",NA,NA,NA,NA
"10",20012310,5.7912,3.048,27.6,27.77,8.2,8.14,17.78,17.04,3.048,2001,23,"june","05/06/2001",10,"spring",NA,NA,NA,NA
"11",20011911,3.3528,4.8768,27.75,27.74,10,9.92,15.92,15.88,3.6576,2001,19,"may","09/05/2001",11,"spring",NA,NA,NA,NA
"12",20012012,3.3528,3.9624,27.78,27.81,8.41,9.35,16.32,16.15,2.7432,2001,20,"may","17/05/2001",12,"spring",NA,NA,NA,NA
"13",20012213,7.0104,4.2672,27.5,27.64,8.32,8.4,16.27,15.95,0,2001,22,"may","30/05/2001",13,"spring",NA,NA,NA,NA
"14",20012014,12.8016,6.7056,27.97,28.1,7.94,9.07,15.98,15.46,3.048,2001,20,"may","17/05/2001",14,"spring",NA,NA,NA,NA
"15",20012415,6.4008,7.9248,27.83,27.89,7.75,8.04,20.7,19.88,3.3528,2001,24,"june","12/06/2001",15,"spring",NA,NA,NA,NA
"16",20012116,3.3528,2.4384,27.51,27.51,7.45,7.7,17.11,17.08,2.7432,2001,21,"may","21/05/2001",16,"spring",NA,NA,NA,NA
"17",20012017,2.4384,5.7912,27.72,27.71,0,0,17.34,17.34,2.4384,2001,20,"may","14/05/2001",17,"spring",NA,NA,NA,NA
"18",20012018,7.9248,8.5344,27.65,27.8,7.43,8.39,16.79,15.95,3.2004,2001,20,"may","17/05/2001",18,"spring",NA,NA,NA,NA
"19",20012019,4.2672,0,27.73,27.85,8.14,8.85,16.56,15.99,3.2004,2001,20,"may","17/05/2001",19,"spring",NA,NA,NA,NA
"20",20012520,11.5824,4.2672,27.58,27.64,7.13,6.52,23.29,22.56,2.4384,2001,25,"june","20/06/2001",20,"spring",NA,NA,NA,NA
"21",20012221,9.144,3.6576,27.27,27.26,8.28,8.38,16.31,16.31,3.048,2001,22,"may","30/05/2001",21,"spring",NA,NA,NA,NA
"22",20011922,6.7056,7.0104,27.83,27.83,9.84,9.85,16.35,15.44,3.81,2001,19,"may","09/05/2001",22,"spring",NA,NA,NA,NA
"23",20011923,5.7912,5.4864,27.78,27.85,10.35,10.18,16.17,15.42,3.6576,2001,19,"may","09/05/2001",23,"spring",NA,NA,NA,NA
"24",20012324,7.0104,7.62,27.79,27.81,8.21,8.3,18.31,17.18,4.2672,2001,23,"june","05/06/2001",24,"spring",NA,NA,NA,NA
"25",20013325,0.9144,1.0668,28.6,28.6,8.26,8.26,25.8,25.8,0.9144,2001,33,"august","13/08/2001",25,"summer",NA,NA,NA,NA
"26",20012126,4.8768,2.7432,27.51,27.52,7.56,7.74,16.93,16.9,2.7432,2001,21,"may","21/05/2001",26,"spring",NA,NA,NA,NA
"27",20012227,6.7056,0,26.67,26.73,8.55,8.7,17.28,17.16,3.6576,2001,22,"may","29/05/2001",27,"spring",NA,NA,NA,NA
"28",20012628,2.4384,5.4864,26.98,26.99,12.81,13.81,24.73,24.71,2.1336,2001,26,"june","26/06/2001",28,"spring",NA,NA,NA,NA
"29",20012029,7.0104,6.4008,27.63,27.61,0,0,17.51,17.27,2.4384,2001,20,"may","14/05/2001",29,"spring",NA,NA,NA,NA
"30",20011930,9.7536,0,27.67,27.71,13.29,12.98,16.61,15.68,3.048,2001,19,"may","09/05/2001",30,"spring",NA,NA,NA,NA
"31",20012531,6.7056,11.8872,27.61,27.65,6.56,6.7,23,22.44,2.4384,2001,25,"june","20/06/2001",31,"spring",NA,NA,NA,NA
"32",20012232,3.6576,4.2672,27.17,27.14,8.24,8.35,16.53,16.56,0,2001,22,"may","30/05/2001",32,"spring",NA,NA,NA,NA
"33",20011933,2.4384,2.4384,27.06,27.28,8.06,8.19,16.42,15.91,3.048,2001,19,"may","07/05/2001",33,"spring",NA,NA,NA,NA
"34",20012234,2.1336,1.524,26.58,26.76,8.28,8.26,16.76,16.54,2.7432,2001,22,"may","29/05/2001",34,"spring",NA,NA,NA,NA
"35",20011935,3.048,3.9624,27.35,27.36,7.89,7.96,16.82,15.98,2.1336,2001,19,"may","07/05/2001",35,"spring",NA,NA,NA,NA
"36",20012536,2.65176,0,27.04,27.07,7,6.99,23.58,23.04,2.4384,2001,25,"june","19/06/2001",36,"spring",NA,NA,NA,NA
"37",20012437,1.6764,3.048,27.35,27.34,7.31,7.64,20.56,20.56,2.1336,2001,24,"june","11/06/2001",37,"spring",NA,NA,NA,NA
"38",20012138,7.0104,7.0104,27.74,27.76,7.75,7.73,16.55,16.53,3.048,2001,21,"may","21/05/2001",38,"spring",NA,NA,NA,NA
"39",20012439,9.4488,10.668,27.62,27.64,8.18,7.83,21.75,19.91,3.5052,2001,24,"june","12/06/2001",39,"spring",NA,NA,NA,NA
"40",20012040,9.144,9.7536,27.59,27.61,7.48,7.76,16.8,16.25,2.7432,2001,20,"may","17/05/2001",40,"spring",NA,NA,NA,NA
"41",20011941,4.572,7.3152,27.36,27.42,12.92,12.94,17.25,16.47,2.8956,2001,19,"may","09/05/2001",41,"spring",NA,NA,NA,NA
"42",20012042,1.8288,0,27.27,27.27,0,0,17.67,17.68,3.048,2001,20,"may","14/05/2001",42,"spring",NA,NA,NA,NA
"43",20012543,5.1816,4.8768,26.67,27.06,6.96,5.54,23.16,22.14,3.048,2001,25,"june","19/06/2001",43,"spring",NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,44,NA,NA,NA,NA,NA
"45",20012845,6.096,5.7912,27.36,27.51,7.23,6.3,24.44,23.14,2.7432,2001,28,"july","10/07/2001",45,"summer",NA,NA,NA,NA
"46",20011946,4.8768,3.6576,27.3,27.33,7.75,7.66,16.13,15.74,2.7432,2001,19,"may","07/05/2001",46,"spring",NA,NA,NA,NA
"47",20012247,1.31064,3.048,26.76,26.79,8.41,8.5,17.56,17.52,1.8288,2001,22,"may","29/05/2001",47,"spring",NA,NA,NA,NA
"48",20011948,4.572,0,27.37,27.48,12.88,12.34,16.75,15.89,3.048,2001,19,"may","09/05/2001",48,"spring",NA,NA,NA,NA
"49",20013449,3.9624,6.4008,28.19,28.28,0,0,25.55,25.55,3.048,2001,34,"august","21/08/2001",49,"summer",NA,NA,NA,NA
"50",20012550,5.7912,4.2672,27.09,27.11,7.4,6.93,23.54,22.93,3.048,2001,25,"june","20/06/2001",50,"spring",NA,NA,NA,NA
"51",20012251,1.8288,2.1336,26.91,27.03,7.63,7.49,16.3,16.04,2.4384,2001,22,"may","29/05/2001",51,"spring",NA,NA,NA,NA
"52",20012852,4.572,3.3528,27.09,27.58,7.45,7.27,25.2,23.04,2.4384,2001,28,"july","10/07/2001",52,"summer",NA,NA,NA,NA
"53",20011953,6.7056,6.096,27.03,27.16,8.34,8.12,16.13,15.9,3.3528,2001,19,"may","07/05/2001",53,"spring",NA,NA,NA,NA
"54",20011954,6.7056,6.7056,27.11,27.26,8.69,8.54,16.02,15.47,3.048,2001,19,"may","07/05/2001",54,"spring",NA,NA,NA,NA
"55",20013655,7.3152,7.0104,0,0,0,0,0,0,2.1336,2001,36,"september","04/09/2001",55,"fall",NA,NA,NA,NA
"56",20012256,6.4008,7.0104,26.74,27.21,8.44,8.23,17.1,16.05,3.6576,2001,22,"may","29/05/2001",56,"spring",NA,NA,NA,NA
"57",20012457,4.2672,3.6576,26.58,27.17,6.54,7.09,20.8,19.9,3.048,2001,24,"june","11/06/2001",57,"spring",NA,NA,NA,NA
