"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",2003211,2.1336,1.2192,27.24,27.26,8.46,8.76,14.32,14.3,2.8956,2003,21,"may","19/05/2003",1,"spring",NA,NA,NA,NA
"2",2003292,4.8768,9.4488,27.45,27.68,4.73,4.57,23.23,22.49,1.524,2003,29,"july","14/07/2003",2,"summer",NA,NA,NA,NA
"3",2003193,9.7536,2.1336,27.16,27.24,8.79,9.39,12.67,12.38,4.2672,2003,19,"may","05/05/2003",3,"spring",NA,NA,NA,NA
"4",2003214,8.8392,0,27.29,27.28,6.54,6.9,14.18,14.13,3.2004,2003,21,"may","19/05/2003",4,"spring",NA,NA,NA,NA
"5",2003245,3.048,4.8768,27.1,27.11,8.19,8.48,17.77,17.44,3.6576,2003,24,"june","10/06/2003",5,"spring",NA,NA,NA,NA
"6",2003216,4.572,4.8768,27.33,27.38,6.25,6.44,14.17,14.08,3.5052,2003,21,"may","19/05/2003",6,"spring",NA,NA,NA,NA
"7",2003297,2.4384,4.572,27.48,27.49,4.57,4.46,23.18,23.13,2.1336,2003,29,"july","14/07/2003",7,"summer",NA,NA,NA,NA
"8",2003228,4.572,2.1336,27.28,27.37,5.26,5.36,14.38,13.89,3.6576,2003,22,"may","28/05/2003",8,"spring",NA,NA,NA,NA
"9",2003199,2.77368,6.7056,26.95,27.03,7.91,9.13,14.11,13.53,3.9624,2003,19,"may","05/05/2003",9,"spring",NA,NA,NA,NA
"10",20031910,3.9624,6.4008,26.87,27.16,8.07,9.54,14.19,12.95,4.1148,2003,19,"may","05/05/2003",10,"spring",NA,NA,NA,NA
"11",20032211,3.6576,4.2672,27.16,27.18,5.04,5.05,14.24,14.13,3.9624,2003,22,"may","28/05/2003",11,"spring",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,12,NA,NA,NA,NA,NA
"13",20032713,8.5344,3.6576,27.12,27.21,9.18,9.44,22.58,22.32,2.286,2003,27,"july","01/07/2003",13,"summer",NA,NA,NA,NA
"14",20032214,13.4112,8.5344,27.16,27.35,5.82,5.72,14.67,13.84,3.6576,2003,22,"may","28/05/2003",14,"spring",NA,NA,NA,NA
"15",20032015,6.7056,2.7432,27.39,27.38,8.38,8.43,13.74,13.61,3.048,2003,20,"may","14/05/2003",15,"spring",NA,NA,NA,NA
"16",20032016,3.048,2.4384,26.06,26.13,7.01,7.27,15.99,15.74,2.5908,2003,20,"may","12/05/2003",16,"spring",NA,NA,NA,NA
"17",20032117,3.048,1.524,27.13,27.05,5.64,5.72,16.24,14.24,3.2004,2003,21,"may","19/05/2003",17,"spring",NA,NA,NA,NA
"18",20032318,7.9248,6.4008,27.11,27.12,4.42,4.69,16.87,15.82,2.7432,2003,23,"june","03/06/2003",18,"spring",NA,NA,NA,NA
"19",20032219,4.572,5.7912,27.13,27.14,5.25,5.22,14.16,14.15,3.3528,2003,22,"may","28/05/2003",19,"spring",NA,NA,NA,NA
"20",20032220,12.4968,8.5344,27.25,27.25,5.42,5.45,14,13.94,3.3528,2003,22,"may","28/05/2003",20,"spring",NA,NA,NA,NA
"21",20032021,4.572,0,27.03,27.06,8.21,8.32,14.07,13.97,2.4384,2003,20,"may","14/05/2003",21,"spring",NA,NA,NA,NA
"22",20032322,6.7056,4.572,27.26,27.36,4.47,4.61,17.13,15.83,3.9624,2003,23,"june","03/06/2003",22,"spring",NA,NA,NA,NA
"23",20032523,5.4864,6.096,27.29,27.39,8.15,7.8,18.56,18.17,2.8956,2003,25,"june","17/06/2003",23,"spring",NA,NA,NA,NA
"24",20032024,7.0104,7.3152,27.24,27.34,8.39,8.48,13.95,13.62,3.2004,2003,20,"may","14/05/2003",24,"spring",NA,NA,NA,NA
"25",20032425,1.524,3.048,26.87,26.85,5.66,5.86,19.77,19.77,1.524,2003,24,"june","14/06/2003",25,"spring",NA,NA,NA,NA
"26",20031926,4.572,3.048,26.41,26.43,9.02,9.21,13.98,13.94,4.1148,2003,19,"may","05/05/2003",26,"spring",NA,NA,NA,NA
