"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",1997341,3.6576,2.83464,30.6,30.8,6.93,6.88,23.74,23.59,2.7432,1997,34,"august","19/08/1997",1,"summer",NA,NA,NA,NA
"2",1997282,4.2672,6.096,28.5,28.5,7.12,7.39,24.1,23.8,2.1336,1997,28,"july","08/07/1997",2,"summer",NA,NA,NA,NA
"3",1997443,9.7536,6.4008,30.5,30.6,8.79,10.33,11.8,0,5.1816,1997,44,"october","29/10/1997",3,"fall",NA,NA,NA,NA
"4",1997384,5.7912,5.4864,29.8,29.9,7.9,8.21,22.1,22.1,3.3528,1997,38,"september","16/09/1997",4,"fall",NA,NA,NA,NA
"5",1997195,4.2672,3.048,27.6,27.4,8.9,8.8,12,12,3.9624,1997,19,"may","09/05/1997",5,"spring",NA,NA,NA,NA
"6",1997196,4.572,5.4864,27.6,27.6,8.83,9.08,11.7,11.6,4.4196,1997,19,"may","09/05/1997",6,"spring",NA,NA,NA,NA
"7",1997227,5.1816,4.8768,27.4,27.4,8.6,8.7,16.1,15.9,3.81,1997,22,"may","28/05/1997",7,"spring",NA,NA,NA,NA
"8",1997208,6.096,2.1336,27.4,27.5,9.06,9.05,13.6,13.5,3.6576,1997,20,"may","14/05/1997",8,"spring",NA,NA,NA,NA
"9",1997249,4.2672,5.7912,27.5,27.6,9.4,9.3,18.2,18,3.5052,1997,24,"june","09/06/1997",9,"spring",NA,NA,NA,NA
"10",19972210,4.8768,4.8768,27.4,27.5,8.7,8.4,16.4,15.1,3.048,1997,22,"may","28/05/1997",10,"spring",NA,NA,NA,NA
"11",19972611,3.3528,7.62,28,27.9,7.15,7.39,21.6,21.6,2.5908,1997,26,"june","24/06/1997",11,"spring",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,12,NA,NA,NA,NA,NA
"13",19972013,6.096,9.7536,27.3,27.4,9.1,8.9,13.5,13.2,3.6576,1997,20,"may","14/05/1997",13,"spring",NA,NA,NA,NA
"14",19972414,13.4112,5.4864,27.8,27.8,9.3,9.1,16.6,16.2,3.5052,1997,24,"june","09/06/1997",14,"spring",NA,NA,NA,NA
"15",19972515,8.5344,8.5344,27.8,28.1,8.1,7.7,20.4,19.1,3.3528,1997,25,"june","17/06/1997",15,"spring",NA,NA,NA,NA
"16",19972416,3.048,3.048,26.9,27.1,9.7,8.74,18.1,16.9,2.1336,1997,24,"june","09/06/1997",16,"spring",NA,NA,NA,NA
"17",19972617,5.4864,6.7056,27.8,28.1,7.6,5.9,22.4,21,2.5908,1997,26,"june","24/06/1997",17,"spring",NA,NA,NA,NA
"18",19972718,7.3152,8.5344,28,28.3,7.6,6.4,24.2,23.1,3.2004,1997,27,"july","02/07/1997",18,"summer",NA,NA,NA,NA
"19",19972719,4.572,3.048,28.1,28.1,7.3,6.73,23.9,23.5,2.7432,1997,27,"july","02/07/1997",19,"summer",NA,NA,NA,NA
"20",19972520,12.8016,5.1816,27.9,27.8,8,7.6,19.5,19.2,3.2004,1997,25,"june","17/06/1997",20,"spring",NA,NA,NA,NA
"21",19972221,7.3152,3.9624,27.3,27.3,8.38,8.65,15.2,15.1,3.5052,1997,22,"may","28/05/1997",21,"spring",NA,NA,NA,NA
"22",19972222,6.4008,4.572,27.5,27.5,8.6,8.7,16.6,15.1,3.6576,1997,22,"may","28/05/1997",22,"spring",NA,NA,NA,NA
"23",19971923,6.096,7.62,27.4,27.5,7.91,9.08,12.1,11.8,3.9624,1997,19,"may","09/05/1997",23,"spring",NA,NA,NA,NA
"24",19971924,7.9248,8.8392,27.5,27.5,9.09,8.88,12,11.8,4.1148,1997,19,"may","09/05/1997",24,"spring",NA,NA,NA,NA
"25",19971925,1.8288,6.096,26.7,26.8,9.8,10,11.8,11.9,1.8288,1997,19,"may","08/05/1997",25,"spring",NA,NA,NA,NA
"26",19972426,3.6576,2.7432,27.1,27.3,9.02,8.72,16.9,16.7,2.7432,1997,24,"june","09/06/1997",26,"spring",NA,NA,NA,NA
"27",19972727,3.9624,5.7912,27.7,27.9,6.88,6.34,24.9,24,2.8956,1997,27,"july","02/07/1997",27,"summer",NA,NA,NA,NA
"28",19971928,4.8768,6.4008,27,27.2,9.4,9.4,12,12,3.048,1997,19,"may","08/05/1997",28,"spring",NA,NA,NA,NA
"29",19972729,8.2296,7.9248,28.1,28.2,7.1,6.13,23.9,23.3,3.048,1997,27,"july","02/07/1997",29,"summer",NA,NA,NA,NA
"30",19972230,9.144,9.7536,27.2,27.3,8.4,8.2,15.8,15.4,1.6764,1997,22,"may","28/05/1997",30,"spring",NA,NA,NA,NA
"31",19972031,9.144,6.7056,27,27.3,8.89,8.74,13.7,13.2,3.6576,1997,20,"may","14/05/1997",31,"spring",NA,NA,NA,NA
"32",19972332,4.8768,10.3632,27.5,27.8,10.6,10.9,16.4,15.5,2.8956,1997,23,"june","05/06/1997",32,"spring",NA,NA,NA,NA
"33",19971933,3.6576,2.7432,27.2,27.1,9.4,9.4,12.1,12.1,2.8956,1997,19,"may","08/05/1997",33,"spring",NA,NA,NA,NA
"34",19972034,2.52984,3.3528,26.5,26.8,8.43,9,14.3,13.5,2.7432,1997,20,"may","13/05/1997",34,"spring",NA,NA,NA,NA
"35",19972635,2.8956,3.048,27.1,27.2,7.33,7.25,22.7,22.1,2.5908,1997,26,"june","23/06/1997",35,"spring",NA,NA,NA,NA
"36",19971936,2.1336,3.6576,27.1,27,9.25,9.47,11.8,12.1,1.8288,1997,19,"may","08/05/1997",36,"spring",NA,NA,NA,NA
"37",19972037,1.8288,3.3528,26.7,26.7,8.6,8.8,14.3,14.2,2.4384,1997,20,"may","13/05/1997",37,"spring",NA,NA,NA,NA
