"","id","StartDepth","EndDepth","SurfaceSalinity","BottomSalinity","SurfaceDO","BottomDO","SurfaceTemp","BottomTemp","Secchi","Year","Week","Month","Date","Station","Season","StartLat","EndLat","StartLong","EndLong"
"1",1993211,2.4384,1.2192,28.3,28.5,8.7,8.4,18,16.6,2.8956,1993,21,"may","18/05/1993",1,"spring",NA,NA,NA,NA
"2",1993252,4.572,0,28.4,28.4,7.7,7.6,20.6,19.9,3.2004,1993,25,"june","15/06/1993",2,"spring",NA,NA,NA,NA
"3",1993283,6.096,6.7056,29,29,8,7.6,24.1,23.3,2.286,1993,28,"july","07/07/1993",3,"summer",NA,NA,NA,NA
"4",1993194,3.048,3.048,28.7,28.7,9.7,9.5,14.5,13.5,3.9624,1993,19,"may","05/05/1993",4,"spring",NA,NA,NA,NA
"5",1993245,5.1816,3.6576,28.3,28.3,8.8,8.4,18.3,18.1,4.2672,1993,24,"june","09/06/1993",5,"spring",NA,NA,NA,NA
"6",1993206,8.2296,4.572,28.2,28.3,8,8.1,16.1,15.9,3.048,1993,20,"may","11/05/1993",6,"spring",NA,NA,NA,NA
"7",1993237,3.6576,3.3528,28.8,28.9,8.2,8,17,16.9,2.4384,1993,23,"june","02/06/1993",7,"spring",NA,NA,NA,NA
"8",1993268,6.4008,0,28.8,28.8,8.9,8.6,22.4,21.5,2.8956,1993,26,"june","24/06/1993",8,"spring",NA,NA,NA,NA
"9",1993309,5.7912,6.7056,30.4,30.4,6.5,6.3,24.6,23.9,2.1336,1993,30,"july","20/07/1993",9,"summer",NA,NA,NA,NA
"10",19932210,4.8768,0,28.3,28.4,8,7.5,17.6,17.1,2.4384,1993,22,"may","26/05/1993",10,"spring",NA,NA,NA,NA
"11",19934011,3.048,5.1816,30.5,30.4,9.2,9.1,18.6,18.6,2.7432,1993,40,"september","29/09/1993",11,"fall",NA,NA,NA,NA
"12",19931912,5.4864,2.7432,28.6,28.7,9.8,9.6,13.9,13.8,4.1148,1993,19,"may","05/05/1993",12,"spring",NA,NA,NA,NA
"13",19932013,6.7056,7.0104,28,28.1,6.5,6.6,16.6,16.1,3.2004,1993,20,"may","11/05/1993",13,"spring",NA,NA,NA,NA
"14",19932014,7.62,7.62,28.2,28.1,6.8,6.9,16.6,16.3,3.3528,1993,20,"may","11/05/1993",14,"spring",NA,NA,NA,NA
"15",19931915,8.8392,8.2296,28.6,28.8,9,9.1,13.6,13.4,3.81,1993,19,"may","05/05/1993",15,"spring",NA,NA,NA,NA
"16",19932316,3.3528,3.048,27.9,27.9,8.1,8.1,18.4,18.3,2.1336,1993,23,"june","02/06/1993",16,"spring",NA,NA,NA,NA
"17",19932217,6.4008,0,28.4,28.4,8,6.9,17.5,17.2,2.286,1993,22,"may","26/05/1993",17,"spring",NA,NA,NA,NA
"18",19932118,6.096,6.096,28.3,28.3,8.7,8.2,17.4,17.1,2.4384,1993,21,"may","18/05/1993",18,"spring",NA,NA,NA,NA
"19",19931919,3.3528,4.572,28.4,28.8,9.2,9.2,14.4,13.6,3.6576,1993,19,"may","05/05/1993",19,"spring",NA,NA,NA,NA
"20",19932320,7.62,10.0584,28.7,28.8,7.8,7.9,17.1,17.5,2.1336,1993,23,"june","02/06/1993",20,"spring",NA,NA,NA,NA
"21",19934421,9.144,0,30.1,30.7,8.2,8.2,13.2,13.1,3.3528,1993,44,"october","26/10/1993",21,"fall",NA,NA,NA,NA
"22",19933022,6.7056,0,30.4,30.5,6,5.7,24.7,23.8,1.9812,1993,30,"july","20/07/1993",22,"summer",NA,NA,NA,NA
"23",19932123,5.4864,5.7912,28.3,28.5,8.7,8.2,17.8,16.9,3.048,1993,21,"may","18/05/1993",23,"spring",NA,NA,NA,NA
"24",19931924,7.9248,7.62,28.5,28.8,9.5,8.7,14.6,13.1,4.572,1993,19,"may","05/05/1993",24,"spring",NA,NA,NA,NA
"25",19932225,6.096,1.2192,27.6,27.6,7.7,7.8,18.4,18.1,2.286,1993,22,"may","25/05/1993",25,"spring",NA,NA,NA,NA
"26",19931926,3.3528,2.8956,28.1,28.2,9.2,8.8,15.3,15.3,2.8956,1993,19,"may","05/05/1993",26,"spring",NA,NA,NA,NA
"27",19932427,3.9624,4.572,27.8,27.8,9.2,8.6,19.5,18.5,3.048,1993,24,"june","09/06/1993",27,"spring",NA,NA,NA,NA
"28",19932228,3.6576,6.096,27.9,27.7,7.6,7.6,17.9,17.6,2.1336,1993,22,"may","25/05/1993",28,"spring",NA,NA,NA,NA
"29",19932329,5.1816,0,28.5,28.6,7.9,7.5,17.7,17.4,2.1336,1993,23,"june","02/06/1993",29,"spring",NA,NA,NA,NA
"30",19932230,9.4488,9.7536,28,28.2,7.8,7.2,18,17.6,2.1336,1993,22,"may","26/05/1993",30,"spring",NA,NA,NA,NA
"31",19932031,8.8392,7.0104,27.8,28,7.7,7.8,17,16.3,2.7432,1993,20,"may","11/05/1993",31,"spring",NA,NA,NA,NA
"32",19932532,9.7536,5.4864,28,28.3,7.4,7.3,21.3,20.5,2.286,1993,25,"june","15/06/1993",32,"spring",NA,NA,NA,NA
"33",19932433,1.8288,4.572,0,0,0,0,0,0,2.1336,1993,24,"june","08/06/1993",33,"spring",NA,NA,NA,NA
"34",19932034,4.572,6.096,27.7,27.8,5,5,18.2,17.6,2.7432,1993,20,"may","12/05/1993",34,"spring",NA,NA,NA,NA
"35",19932535,3.048,3.9624,27.5,27.6,7.8,7.6,22.1,21.5,2.7432,1993,25,"june","16/06/1993",35,"spring",NA,NA,NA,NA
"36",19932836,3.9624,0,28.2,28.4,8.2,7.6,25.7,24.8,1.8288,1993,28,"july","07/07/1993",36,"summer",NA,NA,NA,NA
"37",19932937,1.8288,3.048,28.6,28.6,8,7.5,26.5,26.3,1.8288,1993,29,"july","13/07/1993",37,"summer",NA,NA,NA,NA
"38",19932538,6.7056,6.7056,28,28.1,8.5,8,21,20.6,2.286,1993,25,"june","15/06/1993",38,"spring",NA,NA,NA,NA
"39",19932239,8.5344,11.2776,28,28.3,7.8,7.4,18.3,17.4,1.9812,1993,22,"may","26/05/1993",39,"spring",NA,NA,NA,NA
"40",19932740,8.5344,7.9248,28.3,28.4,7.1,6.8,23,22.9,2.4384,1993,27,"june","29/06/1993",40,"summer",NA,NA,NA,NA
"41",19931941,3.6576,3.9624,28.3,28.5,8.9,9.2,14.6,14,3.6576,1993,19,"may","05/05/1993",41,"spring",NA,NA,NA,NA
"42",19932442,1.524,1.6764,0,0,0,0,0,0,1.8288,1993,24,"june","08/06/1993",42,"spring",NA,NA,NA,NA
"43",19932043,4.572,4.572,27.5,27.8,4.8,4.9,18.5,17.7,3.048,1993,20,"may","12/05/1993",43,"spring",NA,NA,NA,NA
"44",19933144,0,0,30.4,30.4,7.7,7.3,23.4,23.4,1.524,1993,31,"july","27/07/1993",44,"summer",NA,NA,NA,NA
"45",19931945,6.096,5.7912,28,27.9,9.6,9.4,15.5,15.4,3.048,1993,19,"may","05/05/1993",45,"spring",NA,NA,NA,NA
"46",19932546,4.572,3.3528,27.5,27.6,7.5,7.1,22,21.3,2.286,1993,25,"june","16/06/1993",46,"spring",NA,NA,NA,NA
"47",19932147,3.3528,4.8768,27.7,28,7.9,8,18.2,17.5,3.2004,1993,21,"may","18/05/1993",47,"spring",NA,NA,NA,NA
"48",19932548,2.7432,3.3528,27.7,27.9,8.1,7.7,21.3,21.2,2.4384,1993,25,"june","15/06/1993",48,"spring",NA,NA,NA,NA
"49",19932149,6.096,6.7056,27.9,28,7.9,7.6,18.2,17.6,2.7432,1993,21,"may","18/05/1993",49,"spring",NA,NA,NA,NA
"50",19932050,0.9144,4.572,27.6,27.6,7.6,7.7,18,17.8,1.524,1993,20,"may","11/05/1993",50,"spring",NA,NA,NA,NA
"51",19932151,2.4384,4.2672,27.7,27.6,7.7,7.7,16.8,16.9,2.4384,1993,21,"may","19/05/1993",51,"spring",NA,NA,NA,NA
"52",19933552,3.048,1.524,29.8,30.6,7.7,6.9,24.9,24.1,2.4384,1993,35,"august","25/08/1993",52,"summer",NA,NA,NA,NA
"53",19932353,5.4864,4.8768,28,28.2,7.8,7.5,18.1,17.7,1.8288,1993,23,"june","02/06/1993",53,"spring",NA,NA,NA,NA
"54",19931954,7.3152,5.7912,27.9,28.3,9,8.9,15.4,14.9,3.6576,1993,19,"may","05/05/1993",54,"spring",NA,NA,NA,NA
"55",19932155,7.0104,7.0104,28,28.1,7.6,7.4,17.2,17.2,3.048,1993,21,"may","19/05/1993",55,"spring",NA,NA,NA,NA
